ID,Name,Average Score,Vendor,Category,Pre-Installed
1203664,100 Blocks,8.8,Bright Data,Game,N
4161,3 Cats,6.2,LG RUSSIA R&D Lab,Game,N
1242680,51 Kuwait,6,51Kuwait,Entertainment,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Game,N
460874,2048 Maniac,7.3,Retinmount s.r.o.,Game,N
1226299,4 Matic Player,8,OTT ,Entertainment,N
1205826,67 Play,0,EiTV,Entertainment,N
1150405,007 Squirrel,7.8,tvgame.dev,Game,N
1203329,2023 Super Bowl Kicks,8.9,Klebo,Game,N
1230746,2024 Super Bowl Touchdown,7.7,Klebo,Game,N
1229613,12 TV Parma,0,Fluidstream,Entertainment,N
1231235,4 To Win,10,Desoline Inc.,Game,N
238734,4 in a ROW,8.4,NGINE NETWORKS,Game,N
1219916,360 studios,10,Gizmeon,Entertainment,N
1224053,!Go Marty Go!,7.9,Klebo,Game,N
1245285,!ron Tanks Battle,7,Klebo,Game,N
1224365,#1 Sky Combat,6,Omshy Inc.,Game,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,Game,N
1235427,#1 Tokyo Drift,10,Omshy Inc.,Game,N
1237074,#1 Archery,10,Inlogic Software s.r.o.,Game,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Game,N
1205335,$1 Million Quiz,7.2,Klebo,Game,N
1238838,$Gold Tower Mania,10,Inlogic Software s.r.o.,Game,N
1235193,100% NL,0,Triple,Entertainment,N
230128,+700 Relaxing Channels - Calm Radio,6,Calm Radio,Entertainment,N
1228369,70-80 it,8,,Entertainment,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Game,N
1234550,2048: X2 Merge Blocks,2,Inlogic Software s.r.o.,Game,N
1131758,A+ Cinema,6,myCast TV,Entertainment,N
950161,AAJTAK,6,TV Today,News/Info,N
1151015,ABE Player,0,Soft ltd,Entertainment,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,News/Info,N
1222535,ABS Player,0,ABS Player,Entertainment,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entertainment,N
1015169,ADtv,7.1,Abu Dhabi media,Entertainment,N
1227896,AIScreen Digital Signage Player,0,AIScreen,News/Info,N
1238581,ALA PLAY,0,EiTV,Entertainment,N
1231173,ALGHADTV,0,ALGHADTV,Entertainment,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entertainment,N
953672,ANTV,7.3,ANTV - African Network Television,Entertainment,N
1023038,APPUSERIES,8,myCast TV,Entertainment,N
1165805,APlusPlayer,6,4thdimensionpartners Private Limited,Entertainment,N
1119704,ARC Player,6,ARC Player,Entertainment,N
1060,ART PICTURE GALLERY,2,LG CNS,Game,N
1204514,ASAP Network,0,Castify.ai,Entertainment,N
1226558,ASMR Sand,0,Bright Data,Entertainment,N
1226699,ASMR Shortbread,0,Bright Data,Entertainment,N
1235572,ASTRO TV,0,ASTRO TV,Entertainment,N
458165,ATN LIVE,0,Ariana Television Network,Entertainment,N
1164062,AYNA,0,"International Computer Connections, Inc.",Entertainment,N
1234859,AZ Pro,0,AZ Pro,Entertainment,N
1112463,AZClear,10,Tech Delivery Consultoria,Game,N
468239,Aastha,10,Vedic Broadcasting Limited,Entertainment,N
1235198,Abba Play,0,EiTV,Education,N
1226231,Abby ASMR,0,Bright Data,Life,N
1246176,Abraham,0,Abraham,Entertainment,N
137160,Accuweather,8.2,AccuWeather,News/Info,N
1237327,Act Box,0,Act Box,Entertainment,N
1219102,Actif,10,Actif,Life,N
1241609,Action Moto,10,Inlogic Software s.r.o.,Game,N
1062698,Adnet Play,7.3,EiTV,Entertainment,N
1243883,Adorable Pets Screensaver,0,Bright Data,Entertainment,N
1242514,Adrenaline Racing,0,Inlogic Software s.r.o.,Game,N
1065556,Adria Telekom,8,Adria Telekom,Entertainment,N
1221408,Ads Screens,0,PRACSAC,News/Info,N
1203653,AfghanTV Procast,0,Relentless Innovations LLC,Life,N
1234946,Afroland TV,0,AFROLANDTV INC.,Entertainment,N
145,Agent Sudoku,2,UANGEL,Game,N
1177513,Agro Telecom Play,0,EiTV,Entertainment,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Entertainment,N
1221361,Air Net Go,0,Air Net Go,Entertainment,N
116278,Air Traffic Control,6.6,HatColorSoft,Game,N
972135,AirBeamTV Screen Mirroring Receiver,6.2,AirBeamTV BV,Entertainment,N
1039887,Airtime,0,LGE,Entertainment,N
