ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,8,Desoline Inc.,Game,N
1203664,100 Blocks,7.3,Bright Data,Game,N
4161,3 Cats,6,LG RUSSIA R&D Lab,Game,N
1231679,4 Colors,6,Desoline Inc.,Game,N
1158160,24 FLIX,7.5,Castify.ai,Entertainment,N
1245251,2048 Legend,6,Inlogic Software s.r.o.,Game,N
1235480,35 MM,0,OTT Live,Life,N
460874,2048 Maniac,7.2,Retinmount s.r.o.,Game,N
1226299,4 Matic Player,2,OTT ,Entertainment,N
1125855,3 Palavrinhas,8,myCast TV,Entertainment,N
1205826,67 Play,6,EiTV,Entertainment,N
1150405,007 Squirrel,8.5,tvgame.dev,Game,N
1203329,2023 Super Bowl Kicks,7.7,Klebo,Game,N
1230746,2024 Super Bowl Touchdown,9.1,Klebo,Game,N
1229613,12 TV Parma,0,Fluidstream,Entertainment,N
1231235,4 To Win,10,Desoline Inc.,Game,N
238734,4 in a ROW,7,NGINE NETWORKS,Game,N
1219916,360 studios,8,Gizmeon,Entertainment,N
1224053,!Go Marty Go!,7.3,Klebo,Game,N
1245285,!ron Tanks Battle,0,Klebo,Game,N
1224365,#1 Sky Combat,9.3,Omshy Inc.,Game,N
1234832,#1 Mine Sweeper Mania,6,Inlogic Software s.r.o.,Game,N
1235427,#1 Tokyo Drift,7.7,Omshy Inc.,Game,N
1237074,#1 Archery,7.3,Inlogic Software s.r.o.,Game,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Game,N
1205335,$1 Million Quiz,6,Klebo,Game,N
1221235,$1 M Roulette,10,Desoline Inc.,Game,N
1224457,$1 M Craps,10,Desoline Inc.,Game,N
1225715,$1M Jocker Poker,8,Desoline Inc.,Game,N
1225718,$1M Caribbean Stud Poker,8,Desoline Inc.,Game,N
1225815,$75 Bingo,5.3,Desoline Inc.,Game,N
1224275,$$$ Blackjack,7,Bright Data,Game,N
1238838,$Gold Tower Mania,9,Inlogic Software s.r.o.,Game,N
1235193,100% NL,10,Triple,Entertainment,N
288720,12+,6,Keshet Broadcasting Ltd.,Entertainment,N
230128,+700 Relaxing Channels - Calm Radio,9.4,Calm Radio,Entertainment,N
1228369,70-80 it,8,22HBG,Entertainment,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Game,N
1234550,2048: X2 Merge Blocks,10,Inlogic Software s.r.o.,Game,N
1131758,A+ Cinema,8,myCast TV,Entertainment,N
950161,AAJTAK,0,TV Today,News/Info,N
70106,ABC iview,7.6,Australian Broadcasting Corporation,Entertainment,N
1219355,ABCmouse,7.5,"Age of Learning, Inc.",Education,N
1151015,ABE Player,0,Soft ltd,Entertainment,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,News/Info,N
1222535,ABS Player,0,ABS Player,Entertainment,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entertainment,N
1038728,ADESSO TV,9,Alexandre Porfirio,News/Info,N
1015169,ADtv,0,Abu Dhabi media,Entertainment,N
1227896,AIScreen Digital Signage Player,0,AIScreen,News/Info,N
1238581,ALA PLAY,0,EiTV,Entertainment,N
1231173,ALGHADTV,0,ALGHADTV,Entertainment,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entertainment,N
953672,ANTV,0,ANTV - African Network Television,Entertainment,N
1023038,APPUSERIES,10,myCast TV,Entertainment,N
1165805,APlusPlayer,10,4thdimensionpartners Private Limited,Entertainment,N
1119704,ARC Player,6,ARC Player,Entertainment,N
1060,ART PICTURE GALLERY,2.5,LG CNS,Game,N
168353,ARTE,4.3,ARTE,Entertainment,N
1204514,ASAP Network,0,Castify.ai,Entertainment,N
1226558,ASMR Sand,10,Bright Data,Entertainment,N
1226699,ASMR Shortbread,0,Bright Data,Entertainment,N
1224080,ASMR TV,0,Bright Data,Entertainment,N
1235572,ASTRO TV,0,ASTRO TV,Entertainment,N
458165,ATN LIVE,8,Ariana Television Network,Entertainment,N
1232385,AWS+,0,AWSPlus,Entertainment,N
1164062,AYNA,0,"International Computer Connections, Inc.",Entertainment,N
1234859,AZ Pro,0,AZ Pro,Entertainment,N
1112463,AZClear,7,Tech Delivery Consultoria,Game,N
468239,Aastha,9,Vedic Broadcasting Limited,Entertainment,N
1235198,Abba Play,0,EiTV,Education,N
1226231,Abby ASMR,10,Bright Data,Life,N
1246176,Abraham,0,Abraham,Entertainment,N
137160,Accuweather,5.2,AccuWeather,News/Info,N
1237327,Act Box,0,Act Box,Entertainment,N
1219102,Actif,0,Actif,Life,N
1241609,Action Moto,8,Inlogic Software s.r.o.,Game,N
1062698,Adnet Play,8,EiTV,Entertainment,N
513,Adobe Creative Suite,4.6,Accedo Broadband AB,Education,N
1243883,Adorable Pets Screensaver,0,Bright Data,Entertainment,N
1242514,Adrenaline Racing,10,Inlogic Software s.r.o.,Game,N
1065556,Adria Telekom,8,Adria Telekom,Entertainment,N
1221408,Ads Screens,0,PRACSAC,News/Info,N
1203653,AfghanTV Procast,8,Relentless Innovations LLC,Life,N
1226237,Agadmator's Chess Channel,0,Bright Data,Entertainment,N
1228918,Agathos Play,2,EiTV,Entertainment,N
145,Agent Sudoku,3,UANGEL,Game,N
1177513,Agro Telecom Play,10,EiTV,Entertainment,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Entertainment,N
1221361,Air Net Go,0,Air Net Go,Entertainment,N
116278,Air Traffic Control,6.4,HatColorSoft,Game,N
972135,AirBeamTV Screen Mirroring Receiver,3.9,AirBeamTV BV,Entertainment,N
1039887,Airtime,0,LGE,Entertainment,N
1220063,Akhand Bharat,2,Akhand Bharat,Entertainment,N
156231,Al Jazeera,6.9,Al Jazeera Media Network,News/Info,N
1208591,Al Mashhad,0,Al Mashhad,News/Info,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Entertainment,N
968140,AlMamlaka TV,8,almamlakatv,News/Info,N
1227390,Alaraby Plus,0,Fadaat Media Group,Entertainment,N
1229818,Alaraby TV,6,Al Araby TV,News/Info,N
1231186,Alawal IPTV,0,ALAWAL IPTV,Entertainment,N
1232096,Alb-Kos,0,Alb Kos,Entertainment,N
1241624,Alema Play,0,EiTV,Entertainment,N
1074777,Alhurra Connect,6,U.S. Agency for Global Media,News/Info,N
1238481,Alien Attack,6.7,Desoline Inc.,Game,N
1238478,Alien Landing,10,Desoline Inc.,Game,N
1029702,All Flamenco,7.3,DIGITAL,Entertainment,N
957550,All Relax 6 in 1,4.8,XSTAR,Life,N
1155425,AllIPTVPlayer,0,Soft ltd,Entertainment,N
1209562,AllNet,2,AllNet Communications,Entertainment,N
466757,Allplay,10,Allplay,Entertainment,N
1134338,Almavision,0,Relentless Innovations LLC,Life,N
957813,Almazan Kitchen,10,myCast TV,Life,N
1235299,Almoosawi TV,0,Almoosawi TV,Life,N
1227226,Aloula TV,0,WhitePeakSolutions,Entertainment,N
1241728,Alpha Direct Streaming,0,Alpha Direct Streaming,Entertainment,N
1226768,Alpha Play,0,Alpha Play,Entertainment,N
951002,AlphaOTT,0,AlphaOTT,Entertainment,N
1140147,Alsol Play,10,EiTV,Entertainment,N
1246718,Alternative solution,0,Alternative solution,Entertainment,N
1202915,Amazing Discoveries TV,0,Amazing Discoveries,Life,N
1214350,Amazing Facts TV,6,Amazing Facts International,Life,N
1241814,Amazing Mahjong,0,Inlogic Software s.r.o.,Game,N
1229600,Amazing Places,0,Bright Data,Entertainment,N
1039712,Amazon,0,LGE,Entertainment,N
953239,Amazon Alexa,7,Amazon,Life,N
988758,Amazon Music,4.5,Amazon Music,Entertainment,N
356847,Amazon Prime Video,5.3,Amazon,Entertainment,N
452782,Amazon Prime Video,0,Amazon,Entertainment,N
456792,Amazon Prime Video,0,Amazon,Entertainment,N
1058,Ambiance,3,LG CNS,Life,N
1223205,America Nu Network,0,Radiant Technologies LLC,Entertainment,N
1227495,American Football Challenge,10,Omshy Inc.,Game,N
1207796,AmmanTV,0,AmmanTV,Entertainment,N
1228631,América tvGO Internacional,0,América Televisión ,Entertainment,N
1236417,Anaconda,10,Bright Data,Game,N
359035,Analog Clock,5.6,XSTAR,Life,N
1062653,AnandLiveTv,6,Cinesoft Pvt. Ltd.,Entertainment,N
1236162,Angel Studios,0,Angel Studios,Entertainment,N
998454,Angles,8.2,Deox,Game,N
2696,Angry Duckling,5.3,MINIGATE,Game,N
3977,Animal 21 Dice Trial,6.3,appsuxmodule,Game,N
1208327,Animal Hit,0,Busidol,Game,N
1208329,Animal Hit,0,Busidol,Game,N
1210393,Animal Hit,6,Busidol,Game,N
2692,Animal Pang Pang,5.8,MINIGATE,Game,N
1212930,Animal World,8.7,Klebo,Education,N
1240175,Animania,8,Bright Data,Entertainment,N
1204885,Antarctica Screensaver,9.3,Bright Data,Entertainment,N
1085618,Antik TV,10,ANTIK Technology,Entertainment,N
1238756,Any TV,6,OTT ,Entertainment,N
1166733,Apne Live TV,0,PrimeAsia Tv,Entertainment,N
