ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,7.2,Desoline Inc.,Jogos,N
1203664,100 Blocks,8.7,Bright Data,Jogos,N
4161,3 Cats,5.8,LG RUSSIA R&D Lab,Jogos,N
1231679,4 Colors,8.1,Desoline Inc.,Jogos,N
119485,25 Cuadros,7.3,Option,Educação,N
1235480,35 MM,7.2,OTT Live,Vida,N
460874,2048 Maniac,6.9,Retinmount s.r.o.,Jogos,N
1226299,4 Matic Player,7,OTT ,Entretenimento,N
145487,50 Monumentos Inesquecíveis do Mundo,5.3,EDITORA EUROPA LTDA,Vida,N
1125855,3 Palavrinhas,8.6,myCast TV,Entretenimento,N
1205826,67 Play,6.5,EiTV,Entretenimento,N
1150405,007 Squirrel,8.1,tvgame.dev,Jogos,N
1203329,2023 Super Bowl Kicks,8.5,Klebo,Jogos,N
1230746,2024 Super Bowl Touchdown,7.9,Klebo,Jogos,N
1231235,4 To Win,8.2,Desoline Inc.,Jogos,N
238734,4 in a ROW,8.1,NGINE NETWORKS,Jogos,N
1219916,360 studios,8.5,Gizmeon,Entretenimento,N
1224053,!Go Marty Go!,6.8,Klebo,Jogos,N
1245285,!ron Tanks Battle,8.9,Klebo,Jogos,N
1224365,#1 Sky Combat,8.4,Omshy Inc.,Jogos,N
1235427,#1 Tokyo Drift,7,Omshy Inc.,Jogos,N
1205335,$1 Million Quiz,6.9,Klebo,Jogos,N
1221235,$1 M Roulette,6.9,Desoline Inc.,Jogos,N
1224457,$1 M Craps,7.1,Desoline Inc.,Jogos,N
1225715,$1M Jocker Poker,6.7,Desoline Inc.,Jogos,N
1225718,$1M Caribbean Stud Poker,6,Desoline Inc.,Jogos,N
1225815,$75 Bingo,6,Desoline Inc.,Jogos,N
1224275,$$$ Blackjack,6.7,Bright Data,Jogos,N
230128,+700 Relaxing Channels - Calm Radio,9,Calm Radio,Entretenimento,N
1222775,+NET Play TV,8,MultTV,Entretenimento,N
1231367,+SBT,9.1,SBT,Entretenimento,N
1228369,70-80 it,7.9,,Entretenimento,N
108678,A Pintura Perfeita de Pierre - Brasil,6.9,LGESP,Jogos,N
117835,A que Arbol Vuelan los Pajaros,6.4,Option,Educação,N
119499,A que Hoja Va El Gusano Sustraccion,6.5,Option,Educação,N
117837,A que Hoja se Arrastra el Gusano,6.4,Option,Educação,N
119501,A que Hongo va La Mariposa,6.8,Option,Educação,N
1131758,A+ Cinema,6,myCast TV,Entretenimento,N
950161,AAJTAK,6,TV Today,Notícias/Informações,N
1151015,ABE Player,7.2,Soft ltd,Entretenimento,N
1222535,ABS Player,8,ABS Player,Entretenimento,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entretenimento,N
1038728,ADESSO TV,8.4,Alexandre Porfirio,Notícias/Informações,N
1213004,AGE TV,7.6,AGE TELECOM,Entretenimento,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Notícias/Informações,N
1238581,ALA PLAY,10,EiTV,Entretenimento,N
1231173,ALGHADTV,0,ALGHADTV,Entretenimento,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entretenimento,N
953672,ANTV,7.8,ANTV - African Network Television,Entretenimento,N
1023038,APPUSERIES,8.3,myCast TV,Entretenimento,N
1165805,APlusPlayer,8.3,4thdimensionpartners Private Limited,Entretenimento,N
1119704,ARC Player,6.8,ARC Player,Entretenimento,N
1060,ART PICTURE GALLERY,2.9,LG CNS,Jogos,N
1226558,ASMR Sand,10,Bright Data,Entretenimento,N
1226699,ASMR Shortbread,0,Bright Data,Entretenimento,N
1224080,ASMR TV,0,Bright Data,Entretenimento,N
1235572,ASTRO TV,0,ASTRO TV,Entretenimento,N
1202771,ATELTV,10,ATEL,Entretenimento,N
458165,ATN LIVE,8.4,Ariana Television Network,Entretenimento,N
1232385,AWS+,0,AWSPlus,Entretenimento,N
1223118,3AX PLAY,0,MultTV,Entretenimento,N
1234859,AZ Pro,0,AZ Pro,Entretenimento,N
1112463,AZClear,5.7,Tech Delivery Consultoria,Jogos,N
1235198,Abba Play,9.4,EiTV,Educação,N
1226231,Abby ASMR,0,Bright Data,Vida,N
1246176,Abraham,0,Abraham,Entretenimento,N
1220612,Academia de Pregadores,10,Academia de Pregadores,Educação,N
1229336,AccessLink TV,6,MultTV,Entretenimento,N
137160,AccuWeather 2.0,6.6,AccuWeather,Notícias/Informações,Y
1237327,Act Box,6,Act Box,Entretenimento,N
1162177,Action Play,6.4,Naxos Telecom,Entretenimento,N
1062698,Adnet Play,7.6,EiTV,Entretenimento,N
513,Adobe Creative Suite,5.9,Accedo Broadband AB,Educação,N
1243883,Adorable Pets Screensaver,10,Bright Data,Entretenimento,N
1221408,Ads Screens,0,PRACSAC,Notícias/Informações,N
1213470,Adyl TV,6,Adylnet,Entretenimento,N
1203653,AfghanTV Procast,7.2,Relentless Innovations LLC,Vida,N
1226237,Agadmator's Chess Channel,6,Bright Data,Entretenimento,N
1228918,Agathos Play,7.6,EiTV,Entretenimento,N
145,Agent Sudoku,3.9,UANGEL,Jogos,N
1177513,Agronet Play,7.3,EiTV,Entretenimento,N
1233399,Ahshow.tv,0,Pmovil LTDA,Entretenimento,N
1111791,AhuuTvPlay,8,PcMax Informática Ltda,Entretenimento,N
1245747,Air IPTV Smarters,10,Air IPTV Smarters,Entretenimento,N
1221361,Air Net Go,0,Air Net Go,Entretenimento,N
326997,Air Surf,6.7,eoakley,Jogos,N
116278,Air Traffic Control,6.2,HatColorSoft,Jogos,N
972135,AirBeamTV Screen Mirroring Receiver,4.8,AirBeamTV BV,Entretenimento,N
1039887,Airtime,0,LGE,Entretenimento,N
1220063,Akhand Bharat,0,Akhand Bharat,Entretenimento,N
156231,Al Jazeera,7.3,Al Jazeera Media Network,Notícias/Informações,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Entretenimento,N
1227390,Alaraby Plus,8.4,Fadaat Media Group,Entretenimento,N
1229818,Alaraby TV,10,Al Araby TV,Notícias/Informações,N
1231186,Alawal IPTV,6,ALAWAL IPTV,Entretenimento,N
1232096,Alb-Kos,8,Alb Kos,Entretenimento,N
1241624,Alema Play,10,EiTV,Entretenimento,N
1213095,AlencarNet,9.1,PcMax Informática Ltda,Entretenimento,N
1074777,Alhurra Connect,9.2,U.S. Agency for Global Media,Notícias/Informações,N
1238481,Alien Attack,6.7,Desoline Inc.,Jogos,N
1238478,Alien Landing,5.5,Desoline Inc.,Jogos,N
122824,Alimenta Al Lobo Marino,6.3,Option,Educação,N
1029702,All Flamenco,7.6,DIGITAL,Entretenimento,N
957550,All Relax 6 in 1,6.9,XSTAR,Vida,N
1155425,AllIPTVPlayer,7.6,Soft ltd,Entretenimento,N
466757,Allplay,7.3,Allplay,Entretenimento,N
1134338,Almavision,8,Relentless Innovations LLC,Vida,N
957813,Almazan Kitchen,8.4,myCast TV,Vida,N
1235299,Almoosawi TV,6,Almoosawi TV,Vida,N
1228829,AloPlay,0,MultTV,Entretenimento,N
1227226,Aloula TV,10,WhitePeakSolutions,Entretenimento,N
1241728,Alpha Direct Streaming,10,Alpha Direct Streaming,Entretenimento,N
1226768,Alpha Play,8,Alpha Play,Entretenimento,N
951002,AlphaOTT,9.7,AlphaOTT,Entretenimento,N
1140147,Alsol Play,7.7,EiTV,Entretenimento,N
1246718,Alternative solution,8,Alternative solution,Entretenimento,N
1243927,Amasian TV,0,ODK Media Inc,Entretenimento,N
1202915,Amazing Discoveries TV,8.2,Amazing Discoveries,Vida,N
1229600,Amazing Places,0,Bright Data,Entretenimento,N
1039712,Amazon,0,LGE,Entretenimento,N
953239,Amazon Alexa,7.8,Amazon,Vida,N
988758,Amazon Music,7.8,Amazon Music,Entretenimento,N
356847,Amazon Prime Video,6.8,Amazon,Entretenimento,N
452782,Amazon Prime Video,4.7,Amazon,Entretenimento,N
456792,Amazon Prime Video,6.2,Amazon,Entretenimento,N
1058,Ambiance,3,LG CNS,Vida,N
1242973,AmericaVivo,10,DPS,Entretenimento,N
1227495,American Football Challenge,7,Omshy Inc.,Jogos,N
1207796,AmmanTV,10,AmmanTV,Entretenimento,N
1236417,Anaconda,8,Bright Data,Jogos,N
359035,Analog Clock,5.9,XSTAR,Vida,N
1062653,AnandLiveTv,7.4,Cinesoft Pvt. Ltd.,Entretenimento,N
1236162,Angel Studios,10,Angel Studios,Entretenimento,N
2696,Angry Duckling,5.8,MINIGATE,Jogos,N
1208327,Animal Hit,0,Busidol,Jogos,N
1208329,Animal Hit,0,Busidol,Jogos,N
1210393,Animal Hit,6.6,Busidol,Jogos,N
2692,Animal Pang Pang,6.1,MINIGATE,Jogos,N
1212930,Animal World,8.7,Klebo,Educação,N
1240175,Animania,0,Bright Data,Entretenimento,N
1204885,Antarctica Screensaver,9,Bright Data,Entretenimento,N
1238756,Any TV,6,OTT ,Entretenimento,N
1166733,Apne Live TV,10,PrimeAsia Tv,Entretenimento,N
1224520,App CTS Service,8,LGE,Educação,N
1039794,AppMembers,8.7,EiTV,Entretenimento,N
1092273,Apple Music,7.7,Apple,Entretenimento,Y
990564,Apple TV,7.3,Apple,Entretenimento,Y
1094361,Apple TV+,6.9,Apple,Entretenimento,N
1230591,Apples,10,Bright Data,Jogos,N
117766,Apunta Al Plato 1000,6.2,Option,Educação,N
117786,Apunta Al Plato Correcto,7.9,Option,Educação,N
117764,Apunta al Balde Correcto,6.1,Option,Educação,N
1218707,Aqua Challenge,8,Omshy Inc.,Jogos,N
1244767,Aqua Clash,6,Desoline Inc.,Jogos,N
1245879,Aqua Maze,8.7,Desoline Inc.,Jogos,N
359041,Aqua Real 1,6,XSTAR,Vida,N
359033,Aqua Real 2,4.3,XSTAR,Vida,N
359043,Aquarium 3D,4.1,XSTAR,Vida,N
360819,Aquarium Online,5.7,XSTAR,Vida,N
361175,Aquarium Relax,5.8,XSTAR,Vida,N
1188624,Aquarium With Relaxing Music,6.4,MlvFun,Vida,N
1100995,Arabia Live,8.3,Arabia Live,Entretenimento,N
1229658,Arabian Sea,0,Arabian Sea,Entretenimento,N
1215469,Arabisk Player,8,Arabisk Player,Entretenimento,N
1209717,Arcade Darts,8,Desoline Inc.,Jogos,N
2871,ArcherCraft,2.6,LG RUSSIA R&D Lab,Jogos,N
1021294,Arena+,7.8,Arena+,Entretenimento,N
1198607,Arirang TV,7.5,The Korea International Broadcasting Foundation,Notícias/Informações,N
1228586,Aroma Player,0,Aroma Player,Entretenimento,N
1018405,Around The World 4K,7.6,myCast TV,Vida,N
455499,Arpinet,4.8,Arpinet LLC,Entretenimento,N
950223,ArtHola TV,8.8,Investek Ltd,Entretenimento,N
1236183,ArtVisions Screensaver,0,Bright Data,Entretenimento,N
1173655,Artcast,7.3,Artcast,Vida,N
469669,Artı Dijital Medya,8.1,KanalW Medya ve Telekomünikasyon A.Ş.,Entretenimento,N
1230926,Assim é Portugal TV,8,LogicaHost,Entretenimento,N
1196455,Assista os seus programas favoritos direto da sua Smart TV,7.2,Youcast,Entretenimento,N
1223954,Astrix Player,0,ASTRIX PLAYER,Entretenimento,N
1125315,Atelco TV,8.9,EiTV,Entretenimento,N
117807,Atrapa al Conejo,7.1,Option,Educação,N
1073474,Awaan App,7.7,Dubai Media Incorporated,Entretenimento,N
243526,Awale,8.3,NGINE NETWORKS,Jogos,N
119486,Ayuda a la Hormiga a encontrar su Hormiguero,7.2,Option,Educação,N
1229415,Azteca Noreste,7.3,Azteca Noreste,Notícias/Informações,N
1222668,B2 Play,0,B2 Play,Entretenimento,N
351175,BA Recipes - Enjoy cooking,9.3,tigermilk,Entretenimento,N
1214817,BDTVs,9.6,BDTVs,Entretenimento,N
1234865,BEST TV,2,BEST TV,Entretenimento,N
1234692,BIG PLAYER TV,10,BIG PLAYER TV,Entretenimento,N
1065372,BINGE TV,7.8,myCast TV,Entretenimento,N
1216126,BLDin,0,Devapps,Entretenimento,N
1228182,BLUTV.BR,6,MultTV,Entretenimento,N
1050162,BMTV,7.6,BrandMash technologies,Entretenimento,N
1140697,BOB Player,7.4,bob ltd,Entretenimento,N
1216290,BOB Pro,7,bob ltd,Entretenimento,N
464107,BR Logic Pack,8.7,dreamerman,Jogos,N
1243432,BTC STREAMING,0,BTC STREAMING,Entretenimento,N
1229611,BYUtv,7.5,BYU Broadcasting,Entretenimento,N
1227105,Baby Shark World for Kids,6.6,The Pinkfong Company,Educação,N
1231089,Baby Shark World for Kids,0,The Pinkfong Company,Educação,N
1224144,BabyTV - Preschool Toddler TV,7,BabyTV,Entretenimento,N
1215953,Backgammon,7.4,MlvFun,Jogos,N
1022172,Baita Conteúdo Play,6.6,EiTV,Entretenimento,N
1237979,Balkan IPTV,0,Balkan IPTV,Entretenimento,N
949930,Ball O Matic,6.9,Retinmount s.r.o.,Jogos,N
1213552,Balloon FRVR,8.4,FRVR Limited,Jogos,N
1225884,Balls Blocks,8,Desoline Inc.,Jogos,N
1141276,BandPlay,5,Vibra Digital,Entretenimento,N
955120,Bang & Olufsen,10,Bang & Olufsen a/s,Vida,N
3392,Banker,6.1,LG RUSSIA R&D Lab,Jogos,N
1234292,Banovina,4.7,OTT ,Entretenimento,N
1231664,Baptism,10,Baptism ,Entretenimento,N
1231201,Barça ONE,10,FC Barcelona,Entretenimento,N
1230046,Baseball Master,7.6,Omshy Inc.,Jogos,N
1212520,Baseball Pro,5.4,Desoline Inc.,Jogos,N
1223903,Baseball World,0,Bright Data,Entretenimento,N
1218496,Basketball Flick,7.5,Desoline Inc.,Jogos,N
1224358,Basketball World,0,Bright Data,Entretenimento,N
1207398,Basquet Pass,0,Basquetpasstv,Entretenimento,N
1247632,Bats Blitz,8.7,Desoline Inc.,Jogos,N
469993,Battle Of Jutland,7,Retinmount s.r.o.,Jogos,N
957979,Battle Of Jutland 2,8.1,Retinmount s.r.o.,Jogos,N
1162908,Battle Tanks,8.3,tvgame.dev,Jogos,N
1228011,Battleship War,8.5,Omshy Inc.,Jogos,N
1079013,BayIptv,7.5,setsystem,Entretenimento,N
1239508,Be net,10,Trapemn Spa,Entretenimento,N
1222028,Beach Bodies,8.7,Bright Data,Entretenimento,N
299501,Beanvasion,6.9,LG RUSSIA R&D Lab,Jogos,N
1227129,Beauty TV,0,Bright Data,Vida,N
1244639,Bee Fighter,10,Omshy Inc.,Jogos,N
1212397,Bella Radio,7.1,Radio antenna uno s.r.l.,Entretenimento,N
3968,Berliner Philharmoniker,6.6,Berlin Phil Media GmbH,Entretenimento,N
1019807,Best Baby Lullabies,8.5,myCast TV,Entretenimento,N
286052,Best Logic Puzzle,7.2,플레이빈 주식회사,Jogos,N
1012397,Beyond Today,8.7,United Church of God,Educação,N
1229726,Bhaker Tv,0,Bhaker Tv,Entretenimento,N
1244086,Big Stream,0,Big Stream,Entretenimento,N
1215683,BiiPTV,0,BiiPTV Player,Entretenimento,N
1204105,Billion Marble,0,Busidol,Jogos,N
1204107,Billion Marble,0,Busidol,Jogos,N
1210007,Billion Marble,7.4,Busidol,Jogos,N
1236530,Birds Blast,8,Desoline Inc.,Jogos,N
1023027,BiscootTV,9.1,myCast TV,Vida,N
472323,BitMar,7,BitMar Networks,Entretenimento,N
1219649,Black Movie Max,8.7,Blackgold Media Partners LLC,Entretenimento,N
1237590,Black Pirate Tv,8,Black Pirate Tv,Entretenimento,N
241519,BlackJack,6.6,NGINE NETWORKS,Jogos,N
1169401,Blacknut Cloud Gaming,7.2,Blacknut,Jogos,N
1222339,Blink 102,0,PopLab,Entretenimento,N
1206303,Blink Player,8.6,4thdimensionpartners Private Limited,Entretenimento,N
1233589,Block Puzzle,10,Desoline Inc.,Jogos,N
1234792,Bloomberg,0,Hyundai Motor Company,Notícias/Informações,N
1227700,Blue TV,10,Blue TV,Entretenimento,N
1226740,Blue World TV,0,Blue World TV,Entretenimento,N
1239689,Blue_TV,6,CAMEROON TELECOMMUNICATIONS,Entretenimento,N
1211602,Bluebox TV,10,Fundozer LLC,Entretenimento,N
1247772,Boat Bash,8,Bright Data,Jogos,N
1245638,Boat Battle,6.8,Omshy Inc.,Jogos,N
472853,Bobble Dobble,7.3,Retinmount s.r.o.,Jogos,N
236745,Bobble Pong,7.7,(주)나비소프트,Jogos,N
1226283,BodyBox,6,Mediablocks LLC,Vida,N
957660,Boom Machine,8.2,Retinmount s.r.o.,Jogos,N
2706,Boombrick,5.6,Accedo Broadband AB,Jogos,N
1128546,Boondock Nation,6.6,discovermediaworks,Entretenimento,N
1215898,Boondock Nation,7.5,Gizmeon,Entretenimento,N
1202498,Boosteroid TV,6.8,Boosteroid Games SRL,Jogos,N
1230209,Boss 4k,0,Boss 4k,Entretenimento,N
1223377,Bouncing Eggs,6.8,Desoline Inc.,Jogos,N
1239118,Bouncing Fish,9,Desoline Inc.,Jogos,N
1242103,Bouncing Pencil,8,Desoline Inc.,Jogos,N
1239869,Bouncy Yeti,6,Desoline Inc.,Jogos,N
1212827,Bounty Hunter D,8.7,Gizmeon,Vida,N
1219901,Bowling,8,Desoline Inc.,Jogos,N
1233132,Box Tower,8.2,Desoline Inc.,Jogos,N
1248377,Brahmand,0,Brahmand,Entretenimento,N
259005,Brain Puzzle,7.2,플레이빈 주식회사,Jogos,N
1232842,Brasil IPTV,6.1,Multiapps,Entretenimento,N
1100373,Brasil Paralelo,9.4,Brasil Paralelo,Entretenimento,N
1168118,BrasilNET Play,6.7,Naxos Telecom,Entretenimento,N
1240821,Brick Challenge,10,Desoline Inc.,Jogos,N
1222341,Brick Out,7.3,Omshy Inc.,Jogos,N
1145537,BridTV,8,BridTV,Entretenimento,N
1222757,Bright TV,0,Bright TV,Entretenimento,N
1150014,Bright VPN - Secure Private & Free VPN Proxy,9.7,Bright Data,Entretenimento,N
1211089,BritAsiaTV,7,BritAsia TV,Entretenimento,N
1100989,Britain Live,7.4,Britain Live,Entretenimento,N
949705,Brochero TV,7.3,Interactvty,Educação,N
1207905,Broken Screen 4K,9.4,Bright Data,Jogos,N
228789,Bubble Crash,6.5,NGINE NETWORKS,Jogos,N
1220252,Bubble Shooter,7.8,Desoline Inc.,Jogos,N
259007,Bubble Shooter Adventures,7.1,플레이빈 주식회사,Jogos,N
258955,Bubble Zoo 2,7.3,플레이빈 주식회사,Jogos,N
1242923,Butterflies Flutter,6,MlvFun,Jogos,N
206279,Buttons,5.8,LG RUSSIA R&D Lab,Jogos,N
139,Buy Palace,3.2,UANGEL,Jogos,N
1192339,CABLEFACIL,8.7,CABLE FACIL,Entretenimento,N
1205042,CABONNET PLAY,8.7,CABONNET SERVIÇOS DIGITAIS LTDA,Entretenimento,N
1208533,CANAL 33 MADRID,7.7,CANAL 33,Notícias/Informações,N
1234613,CARD MATCH,0,Busidol,Jogos,N
154923,CBN Family,6.6,Christian Broadcasting Network,Entretenimento,N
951556,CBS News,7.8,CBS News,Notícias/Informações,N
1224661,CCS Play,8,CCS Telecom,Entretenimento,N
949994,CDNTV Play,6.9,Technobox Tecnologia ,Entretenimento,N
1231515,CGM TV,8,CReed Global Media & CGM TV,Entretenimento,N
1243434,CICLOPLAY,0,CICLOPLAY,Entretenimento,N
1236561,CINE Home TV Go,9,Cine Home TV Go,Entretenimento,N
1236903,CLICK TV,0,CLICK TV,Entretenimento,N
1230841,CLICK TV PLUS,0,CLICK TV PLUS,Entretenimento,N
1207434,CLUBE VV8,7.7,EiTV,Entretenimento,N
1228672,CMS TV Pro,0,CMS TV,Entretenimento,N
1216098,CN Plus,9.5,EiTV,Entretenimento,N
1243092,CNU,8,Alexandre Porfirio,Notícias/Informações,N
1175068,COPREL Play,10,Coprel,Entretenimento,N
1214236,CP Smart,7.8,OTT ,Entretenimento,N
1231257,CRUEL TV,0,CRUEL TV,Entretenimento,N
1152376,CafeTv24,6.7,Meway srl,Notícias/Informações,N
470560,CalcioNapoli24Tv,8.5,DASS GROUP S.R.L.,Entretenimento,N
1226324,Calm Sea Life,0,ProArtInc.,Entretenimento,N
1226321,Calm Wildlife TV,10,ProArtInc.,Entretenimento,N
1174789,Calvary,7.5,Lightcast.com,Vida,N
119519,Campeonato de Restas0-5,7.4,Option,Educação,N
117808,Campeonato de Restas,6.9,Option,Educação,N
119487,Campeonato de Sumas,7.1,Option,Educação,N
119489,Campeonato de Sumas 0-5,7.1,Option,Educação,N
299616,Canais Globo,7,Globo,Entretenimento,Y
1139932,Canal Feel Good,8.3,EiTV,Vida,N
