ID,Name,Average Score,Vendor,Category,Pre-Installed
238734,4 in a ROW,8.5,NGINE NETWORKS,游戏,N
1060,ART PICTURE GALLERY,4.3,LG CNS,游戏,N
145,Agent Sudoku,4.7,UANGEL,游戏,N
116278,Air Traffic Control,6.1,HatColorSoft,游戏,N
1058,Ambiance,2.4,LG CNS,生活,N
2696,Angry Duckling,6.1,MINIGATE,游戏,N
3977,Animal 21 Dice Trial,6.3,appsuxmodule,游戏,N
1208329,Animal Hit,0,Busidol,游戏,N
2692,Animal Pang Pang,6.6,MINIGATE,游戏,N
243526,Awale,9.3,NGINE NETWORKS,游戏,N
955120,Bang & Olufsen,8.5,Bang & Olufsen a/s,生活,N
3392,Banker,6.6,LG RUSSIA R&D Lab,游戏,N
201840,Beat Defender free,5.9,IguanaBee,游戏,N
286052,Best Logic Puzzle,6.9,플레이빈 주식회사,游戏,N
1204105,Billion Marble,0,Busidol,游戏,N
241519,BlackJack,6.7,NGINE NETWORKS,游戏,N
236745,Bobble Pong,7.4,(주)나비소프트,游戏,N
2706,Boombrick,6.6,Accedo Broadband AB,游戏,N
259005,Brain Puzzle,7.8,플레이빈 주식회사,游戏,N
228789,Bubble Crash,7,NGINE NETWORKS,游戏,N
259007,Bubble Shooter Adventures,7.1,플레이빈 주식회사,游戏,N
258955,Bubble Zoo 2,7.4,플레이빈 주식회사,游戏,N
139,Buy Palace,3.5,UANGEL,游戏,N
1204097,Card Match,0,Busidol,游戏,N
2919,Chewie Checker,6.8,Accedo Broadband AB,游戏,N
452,Color Blindness Test,4.7,UANGEL,生活,N
4098,Cut the Rope Lite,6.8,ZEPTOLAB,游戏,N
1217816,Deep Linking Tester,6,LGE,教育,N
232503,Developer Mode,6,LGE,教育,N
449678,Device Information,10,msolutions,生活,N
2918,Dinosaur Disaster,6.3,Accedo Broadband AB,游戏,N
357688,El Dorado,8,Busidol,游戏,N
453,Eye Sight Test,4.2,UANGEL,生活,N
240354,Finding Lost Jewelry,7,Busidol,游戏,N
272460,Flow Laser Quest,7.2,플레이빈 주식회사,游戏,N
96377,Flying Pig,7.3,"Bliss soft Co., Ltd.",游戏,N
2705,Four,6.5,Accedo Broadband AB,游戏,N
14816,Fox and mandarin tree,5.9,ipadizer,娱乐,N
341267,Frozen Bubble,5.8,eduardoy,游戏,N
144,Fruit Puzzle,3.3,UANGEL,游戏,N
146,Gems Quest,7.6,UANGEL,游戏,N
239011,Genious Memory,9.5,Advanced Mobile Applications Ltd.,游戏,N
1208299,Hidden Catch,0,Busidol,游戏,N
273933,High Burger,6.8,플레이빈 주식회사,游戏,N
2917,Holiday Getaway,6.7,Accedo Broadband AB,游戏,N
292,Horoscope,4,UANGEL,生活,N
4036,Hot Chicks,6.3,"Bliss soft Co., Ltd.",游戏,N
448,How To Tie,8,UANGEL,生活,N
1208323,Incredible Tank,0,Busidol,游戏,N
285381,Jewel Adventures,6.6,플레이빈 주식회사,游戏,N
2702,Kaboom,6,Accedo Broadband AB,游戏,N
1128159,Keep,5.6,北京安数智云科技有限公司,生活,Y
11659,Landscape,8,LGESP,生活,N
241539,4Leaf Clover,7.6,(주)나비소프트,游戏,N
1118300,Lebo App,4.5,乐播投屏,生活,Y
1224578,Light Drawing,0,LGE,生活,N
273382,Magic Puzzle,9.3,mrshuffler,游戏,N
147,Mahjong,5.6,UANGEL,游戏,N
239641,Maya Brick Breaker,5.7,Advanced Mobile Applications Ltd.,游戏,N
2916,Mindboggle,6.2,Accedo Broadband AB,游戏,N
236746,Monster World,6.9,(주)나비소프트,游戏,N
140,Natural Object,5.6,UANGEL,游戏,N
1224396,NewTV极光,7.2,北京安数智云科技有限公司,娱乐,Y
285325,Ninja Clash,4.2,플레이빈 주식회사,游戏,N
454,Paint,4.7,UANGEL,教育,N
376,Pair & Match,3.5,LG CNS,游戏,N
239634,Parking Panic,7.3,Advanced Mobile Applications Ltd.,游戏,N
247747,Pentomino,7.2,NGINE NETWORKS,游戏,N
220805,Perfect Kick for webOS,0,Gamegou Ltd,游戏,N
259018,Polly Shake Maker,7.2,플레이빈 주식회사,游戏,N
141,Puzzle Game,6,UANGEL,游戏,N
9156,RockSwap Adventures,6.1,Accedo Broadband AB,游戏,N
239689,Rocket Jump,7.7,Advanced Mobile Applications Ltd.,游戏,N
240392,SPG,7.8,Busidol,游戏,N
142,Shoot The Arrow,4.5,UANGEL,游戏,N
241563,Shoot The Doll,7.2,(주)나비소프트,游戏,N
296936,Slam Dunk Basketball,5.6,플레이빈 주식회사,游戏,N
356947,Smart Cricket,3.8,"Zhang Place Lab Co., Ltd",游戏,N
4094,SmartPoker,6.3,LGESP,游戏,N
1030,SmartTruco,6.2,LGESP,游戏,N
341047,Sneaky Snaeky,7.1,homemadecode,游戏,N
143,Spot The Not,5,UANGEL,游戏,N
368,Spot the Difference,4,LG CNS,游戏,N
243522,Sudoku,6.7,NGINE NETWORKS,游戏,N
278493,TV Pool,6.4,LG RUSSIA R&D Lab,游戏,N
125488,Tanks II,7.3,LG RUSSIA R&D Lab,游戏,N
273575,Tetris,8,moggiozzi,游戏,N
1204109,The Chess,0,Busidol,游戏,N
426,Unit Convertor,0,UANGEL,生活,N
239709,Water Blast,8.6,Advanced Mobile Applications Ltd.,游戏,N
449,Wine Sound,3.1,UANGEL,娱乐,N
446,Yoga Trainer,2,UANGEL,生活,N
272458,Zappers,7.2,플레이빈 주식회사,游戏,N
208657,wasu,0,lgdtvlab,娱乐,N
4161,三只猫,6.7,LG RUSSIA R&D Lab,游戏,N
1098610,云视听小电视,7.8,当贝,娱乐,Y
4267,儿童朋友找茬,7.2,모바일버스,游戏,N
256410,十万个为什么,6.8,angame,教育,N
358472,华数-TV,7.1,lgdtvlab,娱乐,Y
208644,华数-体育,0,lgdtvlab,娱乐,N
358525,华数-体育,7.4,lgdtvlab,娱乐,Y
208633,华数-娱乐,9.5,lgdtvlab,娱乐,N
358521,华数-少儿,7.6,lgdtvlab,娱乐,N
208648,华数-电影,6,lgdtvlab,娱乐,N
358519,华数-电影,7.1,lgdtvlab,娱乐,Y
208605,华数-电视剧,5,lgdtvlab,娱乐,N
358523,华数-电视剧,7.1,lgdtvlab,娱乐,N
358517,华数-综艺,7.2,lgdtvlab,娱乐,N
208635,华数-高清,0,lgdtvlab,娱乐,N
456419,华数酷喵,7.3,alibaba,娱乐,Y
1124275,华数鲜时光TV,6.9,"Douyin Vision Co., Ltd.",娱乐,Y
276035,哈哈镜,6.2,LG RUSSIA R&D Lab,游戏,N
1125813,唱吧,7.3,北京安数智云科技有限公司,娱乐,Y
326803,嘟嘟环游世界,7.3,angame,游戏,N
259513,太平洋电脑,5.3,angame,生活,N
326802,小天才,6.9,angame,教育,N
1102079,小学同步课堂,6.8,当贝,教育,N
133850,弹球,6.5,LG RUSSIA R&D Lab,游戏,N
1116061,当贝健身,7,当贝,生活,N
1109045,当贝酷狗音乐,7.7,当贝,娱乐,Y
275204,彩虹桥,6.9,LG RUSSIA R&D Lab,游戏,N
240126,悲伤的鸡蛋,8.4,(주)나비소프트,游戏,N
247039,我要地图,6.5,lgdtvlab,娱乐,N
979,房地产游戏,4.7,UANGEL,游戏,N
242943,找茬游戏,5.6,(주)나비소프트,游戏,N
326565,斗地主,7.3,angame,游戏,N
122841,新婚愉快,6.2,lgdtvlab,生活,N
122839,新春祝福,6.5,lgdtvlab,生活,N
4266,智力拼图,6.3,모바일버스,游戏,N
3446,极速坦克,6.3,LG RUSSIA R&D Lab,游戏,N
122855,母亲节快乐,7.2,lgdtvlab,生活,N
253771,毛毛虫快跑,6.6,LG RUSSIA R&D Lab,游戏,N
259500,爱卡汽车,5.6,angame,生活,N
122852,生日快乐,6.1,lgdtvlab,生活,N
255211,百度地图,6.5,angame,生活,N
240179,百龄台,5.4,(주)나비소프트,游戏,N
4160,看图填色,6.3,모바일버스,游戏,N
260924,章鱼来了,6.7,LG RUSSIA R&D Lab,游戏,N
206279,纽扣,6.8,LG RUSSIA R&D Lab,游戏,N
950153,芒果TV,7.4,湖南快乐阳光互动娱乐传媒有限公司,娱乐,Y
299501,豆豆向前冲,6.4,LG RUSSIA R&D Lab,游戏,N
446631,豆豆跳跃,7.9,angame,游戏,N
447500,贪吃蛇大战,5.8,angame,游戏,N
326862,赛车,6.5,angame,游戏,N
3774,趣味冰球2,6.2,LG RUSSIA R&D Lab,游戏,N
2715,趣味冰球,6.5,LG RUSSIA R&D Lab,游戏,N
214390,趣味足球,6.6,LG RUSSIA R&D Lab,游戏,N
141796,连字游戏,6.3,LG RUSSIA R&D Lab,游戏,N
214353,重力球,7.1,LG RUSSIA R&D Lab,游戏,N
1113964,银河奇异果,4.9,当贝,娱乐,Y
446762,飞机大战,6.9,angame,游戏,N
215222,2048,7.1,NGINE NETWORKS,游戏,N
