ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Spiel,N
1203664,100 Blocks,0,Bright Data,Spiel,N
4161,3 Cats,5.4,LG RUSSIA R&D Lab,Spiel,N
1231679,4 Colors,0,Desoline Inc.,Spiel,N
1158160,24 FLIX,7.6,Castify.ai,Unterhaltung,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Spiel,N
1235480,35 MM,0,OTT Live,Leben,N
460874,2048 Maniac,6.5,Retinmount s.r.o.,Spiel,N
1226299,4 Matic Player,6.3,OTT ,Unterhaltung,N
1125855,3 Palavrinhas,10,myCast TV,Unterhaltung,N
1205826,67 Play,0,EiTV,Unterhaltung,N
1150405,007 Squirrel,7.1,tvgame.dev,Spiel,N
1203329,2023 Super Bowl Kicks,7.7,Klebo,Spiel,N
1230746,2024 Super Bowl Touchdown,10,Klebo,Spiel,N
1229613,12 TV Parma,0,Fluidstream,Unterhaltung,N
1231235,4 To Win,0,Desoline Inc.,Spiel,N
238734,4 in a ROW,7.7,NGINE NETWORKS,Spiel,N
1219916,360 studios,0,Gizmeon,Unterhaltung,N
1224053,!Go Marty Go!,5.6,Klebo,Spiel,N
1245285,!ron Tanks Battle,7,Klebo,Spiel,N
1224365,#1 Sky Combat,6,Omshy Inc.,Spiel,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,Spiel,N
1235427,#1 Tokyo Drift,5,Omshy Inc.,Spiel,N
1237074,#1 Archery,4.4,Inlogic Software s.r.o.,Spiel,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Spiel,N
1205335,$1 Million Quiz,2.6,Klebo,Spiel,N
1221235,$1 M Roulette,10,Desoline Inc.,Spiel,N
1224457,$1 M Craps,0,Desoline Inc.,Spiel,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Spiel,N
1225718,$1M Caribbean Stud Poker,10,Desoline Inc.,Spiel,N
1225815,$75 Bingo,6,Desoline Inc.,Spiel,N
1224275,$$$ Blackjack,10,Bright Data,Spiel,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,Spiel,N
1235193,100% NL,0,Triple,Unterhaltung,N
1093100,1&1 TV und Filme,4.9,Zattoo,Unterhaltung,N
288720,12+,0,Keshet Broadcasting Ltd.,Unterhaltung,N
230128,+700 Relaxing Channels - Calm Radio,5.9,Calm Radio,Unterhaltung,N
298756,1-2-3.tv,6.1,MEKmedia GmbH,Leben,N
1228369,70-80 it,10,,Unterhaltung,N
1240283,2177: Galaxy Warriors,0,Inlogic Software s.r.o.,Spiel,N
1234550,2048: X2 Merge Blocks,2,Inlogic Software s.r.o.,Spiel,N
1131758,A+ Cinema,7.3,myCast TV,Unterhaltung,N
950161,AAJTAK,0,TV Today,Nachrichten/Info,N
1219355,ABCmouse,6.6,"Age of Learning, Inc.",Bildung,N
1151015,ABE Player,9.3,Soft ltd,Unterhaltung,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,Nachrichten/Info,N
1222535,ABS Player,0,ABS Player,Unterhaltung,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Unterhaltung,N
1038728,ADESSO TV,6,Alexandre Porfirio,Nachrichten/Info,N
1015169,ADtv,6,Abu Dhabi media,Unterhaltung,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Nachrichten/Info,N
1238581,ALA PLAY,0,EiTV,Unterhaltung,N
1231173,ALGHADTV,0,ALGHADTV,Unterhaltung,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Unterhaltung,N
953672,ANTV,10,ANTV - African Network Television,Unterhaltung,N
1023038,APPUSERIES,0,myCast TV,Unterhaltung,N
1165805,APlusPlayer,0,4thdimensionpartners Private Limited,Unterhaltung,N
1119704,ARC Player,6.6,ARC Player,Unterhaltung,N
283241,ARD Mediathek,6,ARD Online,Unterhaltung,N
1060,ART PICTURE GALLERY,7,LG CNS,Spiel,N
168353,ARTE,6.8,ARTE,Unterhaltung,N
1222537,ARTHAUS+,9,Canal+ Luxembourg S. à r.l.,Unterhaltung,N
1204514,ASAP Network,6,Castify.ai,Unterhaltung,N
