ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,10,Desoline Inc.,Juegos,N
1203664,100 Blocks,9,Bright Data,Juegos,N
4161,3 Cats,6,LG RUSSIA R&D Lab,Juegos,N
1231679,4 Colors,10,Desoline Inc.,Juegos,N
119485,25 Cuadros,4,Option,Educación,N
1158160,24 FLIX,5.5,Castify.ai,Entretenimiento,N
1202430,13 GO,4,DPS,Entretenimiento,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Juegos,N
1235480,35 MM,0,OTT Live,Vida,N
460874,2048 Maniac,7.1,Retinmount s.r.o.,Juegos,N
1226299,4 Matic Player,6,OTT ,Entretenimiento,N
1125855,3 Palavrinhas,8,myCast TV,Entretenimiento,N
1205826,67 Play,0,EiTV,Entretenimiento,N
1150405,007 Squirrel,8.1,tvgame.dev,Juegos,N
1203329,2023 Super Bowl Kicks,8.9,Klebo,Juegos,N
1230746,2024 Super Bowl Touchdown,8.1,Klebo,Juegos,N
1229613,12 TV Parma,0,Fluidstream,Entretenimiento,N
1231235,4 To Win,10,Desoline Inc.,Juegos,N
238734,4 in a ROW,8.1,NGINE NETWORKS,Juegos,N
1219916,360 studios,0,Gizmeon,Entretenimiento,N
1224053,!Go Marty Go!,6.6,Klebo,Juegos,N
1245285,!ron Tanks Battle,8.9,Klebo,Juegos,N
1224365,#1 Sky Combat,8,Omshy Inc.,Juegos,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,Juegos,N
1235427,#1 Tokyo Drift,7.6,Omshy Inc.,Juegos,N
1237074,#1 Archery,7,Inlogic Software s.r.o.,Juegos,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,Juegos,N
1205335,$1 Million Quiz,6.6,Klebo,Juegos,N
1221235,$1 M Roulette,10,Desoline Inc.,Juegos,N
1224457,$1 M Craps,0,Desoline Inc.,Juegos,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Juegos,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Juegos,N
1225815,$75 Bingo,7,Desoline Inc.,Juegos,N
1224275,$$$ Blackjack,8,Bright Data,Juegos,N
1238838,$Gold Tower Mania,10,Inlogic Software s.r.o.,Juegos,N
1235193,100% NL,0,Triple,Entretenimiento,N
288720,12+,7,Keshet Broadcasting Ltd.,Entretenimiento,N
230128,+700 Relaxing Channels - Calm Radio,8,Calm Radio,Entretenimiento,N
1016219,+MEDIA,6.8,"MEDIOS AUDIOVISUALES MAS MEDIA, SL",Entretenimiento,N
1222775,+NET Play TV,6,MultTV,Entretenimiento,N
1228369,70-80 it,6,,Entretenimiento,N
1240283,2177: Galaxy Warriors,2,Inlogic Software s.r.o.,Juegos,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Juegos,N
117835,A que Arbol vuelan los pajaros,8,Option,Educación,N
119499,A que Hoja Va El Gusano Sustraccion,8,Option,Educación,N
117837,A que Hoja se Arrastra el Gusano,0,Option,Educación,N
119501,A que Hongo va la Mariposa,8,Option,Educación,N
1131758,A+ Cinema,7.6,myCast TV,Entretenimiento,N
