ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Juegos,N
1203664,100 Blocks,10,Bright Data,Juegos,N
4161,3 Cats,5.5,LG RUSSIA R&D Lab,Juegos,N
1231679,4 Colors,7.5,Desoline Inc.,Juegos,N
1158160,24 FLIX,6,Castify.ai,Entretenimiento,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Juegos,N
1235480,35 MM,0,OTT Live,Vida,N
460874,2048 Maniac,6.5,Retinmount s.r.o.,Juegos,N
1226299,4 Matic Player,6,OTT ,Entretenimiento,N
1125855,3 Palavrinhas,7,myCast TV,Entretenimiento,N
1205826,67 Play,0,EiTV,Entretenimiento,N
1150405,007 Squirrel,7.2,tvgame.dev,Juegos,N
1203329,2023 Super Bowl Kicks,7.1,Klebo,Juegos,N
1230746,2024 Super Bowl Touchdown,8.3,Klebo,Juegos,N
1229613,12 TV Parma,0,Fluidstream,Entretenimiento,N
1231235,4 To Win,6,Desoline Inc.,Juegos,N
238734,4 in a ROW,7.2,NGINE NETWORKS,Juegos,N
1219916,360 studios,0,Gizmeon,Entretenimiento,N
1224053,!Go Marty Go!,5.9,Klebo,Juegos,N
1245285,!ron Tanks Battle,8,Klebo,Juegos,N
1224365,#1 Sky Combat,9,Omshy Inc.,Juegos,N
1234832,#1 Mine Sweeper Mania,6,Inlogic Software s.r.o.,Juegos,N
1235427,#1 Tokyo Drift,7.7,Omshy Inc.,Juegos,N
1237074,#1 Archery,8,Inlogic Software s.r.o.,Juegos,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Juegos,N
1205335,$1 Million Quiz,6.2,Klebo,Juegos,N
1221235,$1 M Roulette,9,Desoline Inc.,Juegos,N
1224457,$1 M Craps,0,Desoline Inc.,Juegos,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Juegos,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Juegos,N
1225815,$75 Bingo,6,Desoline Inc.,Juegos,N
1224275,$$$ Blackjack,6,Bright Data,Juegos,N
1238838,$Gold Tower Mania,6,Inlogic Software s.r.o.,Juegos,N
