ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Jeux,N
1203664,100 Blocks,10,Bright Data,Jeux,N
4161,3 Cats,5.9,LG RUSSIA R&D Lab,Jeux,N
1231679,4 Colors,10,Desoline Inc.,Jeux,N
1158160,24 FLIX,6,Castify.ai,Divertissement,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Jeux,N
1235480,35 MM,0,OTT Live,Vie quotidienne,N
460874,2048 Maniac,6.7,Retinmount s.r.o.,Jeux,N
1226299,4 Matic Player,4,OTT ,Divertissement,N
1125855,3 Palavrinhas,10,myCast TV,Divertissement,N
1205826,67 Play,0,EiTV,Divertissement,N
1150405,007 Squirrel,7.9,tvgame.dev,Jeux,N
1203329,2023 Super Bowl Kicks,8.8,Klebo,Jeux,N
1230746,2024 Super Bowl Touchdown,9,Klebo,Jeux,N
1229613,12 TV Parma,0,Fluidstream,Divertissement,N
1231235,4 To Win,10,Desoline Inc.,Jeux,N
238734,4 in a ROW,9.1,NGINE NETWORKS,Jeux,N
1219916,360 studios,10,Gizmeon,Divertissement,N
1224053,!Go Marty Go!,7.4,Klebo,Jeux,N
1245285,!ron Tanks Battle,0,Klebo,Jeux,N
1224365,#1 Sky Combat,6.8,Omshy Inc.,Jeux,N
1234832,#1 Mine Sweeper Mania,6,Inlogic Software s.r.o.,Jeux,N
1235427,#1 Tokyo Drift,9.7,Omshy Inc.,Jeux,N
1237074,#1 Archery,5,Inlogic Software s.r.o.,Jeux,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Jeux,N
1205335,$1 Million Quiz,4,Klebo,Jeux,N
1221235,$1 M Roulette,2,Desoline Inc.,Jeux,N
1224457,$1 M Craps,0,Desoline Inc.,Jeux,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Jeux,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Jeux,N
1225815,$75 Bingo,6,Desoline Inc.,Jeux,N
1224275,$$$ Blackjack,0,Bright Data,Jeux,N
1238838,$Gold Tower Mania,10,Inlogic Software s.r.o.,Jeux,N
1235193,100% NL,0,Triple,Divertissement,N
288720,12+,0,Keshet Broadcasting Ltd.,Divertissement,N
230128,+700 Relaxing Channels - Calm Radio,5.2,Calm Radio,Divertissement,N
1228369,70-80 it,8,,Divertissement,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Jeux,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Jeux,N
1131758,A+ Cinema,7,myCast TV,Divertissement,N
950161,AAJTAK,0,TV Today,Actualités et informations,N
1219355,ABCmouse,5,"Age of Learning, Inc.",Éducation,N
1151015,ABE Player,4.7,Soft ltd,Divertissement,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,Actualités et informations,N
1222535,ABS Player,0,ABS Player,Divertissement,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Divertissement,N
1038728,ADESSO TV,8,Alexandre Porfirio,Actualités et informations,N
1015169,ADtv,10,Abu Dhabi media,Divertissement,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Actualités et informations,N
1238581,ALA PLAY,0,EiTV,Divertissement,N
