ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,10,Desoline Inc.,Game,N
1203664,100 Blocks,10,Bright Data,Game,N
4161,3 Cats,6.6,LG RUSSIA R&D Lab,Game,N
1231679,4 Colors,0,Desoline Inc.,Game,N
1158160,24 FLIX,0,Castify.ai,Entertainment,N
470792,100 FM,8.8,Radios 100FM,Entertainment,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Game,N
1235480,35 MM,10,OTT Live,Life,N
460874,2048 Maniac,8,Retinmount s.r.o.,Game,N
1226299,4 Matic Player,6,OTT ,Entertainment,N
1205826,67 Play,0,EiTV,Entertainment,N
1150405,007 Squirrel,6.5,tvgame.dev,Game,N
1203329,2023 Super Bowl Kicks,0,Klebo,Game,N
1230746,2024 Super Bowl Touchdown,0,Klebo,Game,N
1231235,4 To Win,4,Desoline Inc.,Game,N
238734,4 in a ROW,6.7,NGINE NETWORKS,Game,N
1219916,360 studios,0,Gizmeon,Entertainment,N
1224053,!Go Marty Go!,5.5,Klebo,Game,N
1245285,!ron Tanks Battle,10,Klebo,Game,N
1224365,#1 Sky Combat,6.8,Omshy Inc.,Game,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,Game,N
1235427,#1 Tokyo Drift,10,Omshy Inc.,Game,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,Game,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Game,N
1205335,$1 Million Quiz,7.3,Klebo,Game,N
1221235,$1 M Roulette,6,Desoline Inc.,Game,N
1224457,$1 M Craps,10,Desoline Inc.,Game,N
1225715,$1M Jocker Poker,10,Desoline Inc.,Game,N
1225718,$1M Caribbean Stud Poker,10,Desoline Inc.,Game,N
1225815,$75 Bingo,10,Desoline Inc.,Game,N
1224275,$$$ Blackjack,10,Bright Data,Game,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,Game,N
1235193,100% NL,0,Triple,Entertainment,N
288720,12+,6.1,Keshet Broadcasting Ltd.,Entertainment,Y
230128,+700 Relaxing Channels - Calm Radio,5.7,Calm Radio,Entertainment,N
1228369,70-80 it,0,,Entertainment,N
1240283,2177: Galaxy Warriors,5,Inlogic Software s.r.o.,Game,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Game,N
1131758,A+ Cinema,8.7,myCast TV,Entertainment,N
950161,AAJTAK,0,TV Today,News/Info,N
1151015,ABE Player,0,Soft ltd,Entertainment,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,News/Info,N
1222535,ABS Player,6,ABS Player,Entertainment,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entertainment,N
1015169,ADtv,8.7,Abu Dhabi media,Entertainment,N
1227896,AIScreen Digital Signage Player,0,AIScreen,News/Info,N
1238581,ALA PLAY,0,EiTV,Entertainment,N
1231173,ALGHADTV,10,ALGHADTV,Entertainment,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entertainment,N
953672,ANTV,4,ANTV - African Network Television,Entertainment,N
1023038,APPUSERIES,0,myCast TV,Entertainment,N
1165805,APlusPlayer,0,4thdimensionpartners Private Limited,Entertainment,N
1119704,ARC Player,6,ARC Player,Entertainment,N
1060,ART PICTURE GALLERY,2,LG CNS,Game,N
168353,ARTE,6.2,ARTE,Entertainment,N
1204514,ASAP Network,0,Castify.ai,Entertainment,N
1226558,ASMR Sand,10,Bright Data,Entertainment,N
1226699,ASMR Shortbread,0,Bright Data,Entertainment,N
1224080,ASMR TV,10,Bright Data,Entertainment,N
1235572,ASTRO TV,0,ASTRO TV,Entertainment,N
458165,ATN LIVE,0,Ariana Television Network,Entertainment,N
1232385,AWS+,0,AWSPlus,Entertainment,N
1164062,AYNA,0,"International Computer Connections, Inc.",Entertainment,N
1234859,AZ Pro,0,AZ Pro,Entertainment,N
1112463,AZClear,0,Tech Delivery Consultoria,Game,N
468239,Aastha,0,Vedic Broadcasting Limited,Entertainment,N
1235198,Abba Play,0,EiTV,Education,N
1226231,Abby ASMR,10,Bright Data,Life,N
1246176,Abraham,0,Abraham,Entertainment,N
137160,Accuweather,6.1,AccuWeather,News/Info,N
1237327,Act Box,0,Act Box,Entertainment,N
1219102,Actif,0,Actif,Life,N
1241609,Action Moto,0,Inlogic Software s.r.o.,Game,N
1062698,Adnet Play,6,EiTV,Entertainment,N
1243883,Adorable Pets Screensaver,0,Bright Data,Entertainment,N
1242514,Adrenaline Racing,0,Inlogic Software s.r.o.,Game,N
1065556,Adria Telekom,0,Adria Telekom,Entertainment,N
1221408,Ads Screens,0,PRACSAC,News/Info,N
1203653,AfghanTV Procast,0,Relentless Innovations LLC,Life,N
1234946,Afroland TV,0,AFROLANDTV INC.,Entertainment,N
1226237,Agadmator's Chess Channel,10,Bright Data,Entertainment,N
1228918,Agathos Play,0,EiTV,Entertainment,N
145,Agent Sudoku,5.2,UANGEL,Game,N
1177513,Agro Telecom Play,0,EiTV,Entertainment,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Entertainment,N
1221361,Air Net Go,0,Air Net Go,Entertainment,N
972135,AirBeamTV Screen Mirroring Receiver,4,AirBeamTV BV,Entertainment,N
1039887,Airtime,0,LGE,Entertainment,N
1220063,Akhand Bharat,0,Akhand Bharat,Entertainment,N
156231,Al Jazeera,7.5,Al Jazeera Media Network,News/Info,N
1208591,Al Mashhad,8,Al Mashhad,News/Info,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Entertainment,N
968140,AlMamlaka TV,6,almamlakatv,News/Info,N
1227390,Alaraby Plus,10,Fadaat Media Group,Entertainment,N
1229818,Alaraby TV,10,Al Araby TV,News/Info,N
1231186,Alawal IPTV,0,ALAWAL IPTV,Entertainment,N
1232096,Alb-Kos,6,Alb Kos,Entertainment,N
1241624,Alema Play,0,EiTV,Entertainment,N
1074777,Alhurra Connect,10,U.S. Agency for Global Media,News/Info,N
1238481,Alien Attack,10,Desoline Inc.,Game,N
1238478,Alien Landing,0,Desoline Inc.,Game,N
1029702,All Flamenco,6,DIGITAL,Entertainment,N
957550,All Relax 6 in 1,5.4,XSTAR,Life,N
1155425,AllIPTVPlayer,0,Soft ltd,Entertainment,N
1209562,AllNet,0,AllNet Communications,Entertainment,N
466757,Allplay,0,Allplay,Entertainment,N
1134338,Almavision,0,Relentless Innovations LLC,Life,N
957813,Almazan Kitchen,8.6,myCast TV,Life,N
1235299,Almoosawi TV,0,Almoosawi TV,Life,N
1227226,Aloula TV,0,WhitePeakSolutions,Entertainment,N
1241728,Alpha Direct Streaming,0,Alpha Direct Streaming,Entertainment,N
1226768,Alpha Play,0,Alpha Play,Entertainment,N
951002,AlphaOTT,0,AlphaOTT,Entertainment,N
1140147,Alsol Play,0,EiTV,Entertainment,N
1246718,Alternative solution,0,Alternative solution,Entertainment,N
1202915,Amazing Discoveries TV,0,Amazing Discoveries,Life,N
1214350,Amazing Facts TV,0,Amazing Facts International,Life,N
1241814,Amazing Mahjong,0,Inlogic Software s.r.o.,Game,N
1229600,Amazing Places,10,Bright Data,Entertainment,N
1039712,Amazon,0,LGE,Entertainment,N
356847,Amazon Prime Video,10,Amazon,Entertainment,N
452782,Amazon Prime Video,0,Amazon,Entertainment,N
456792,Amazon Prime Video,0,Amazon,Entertainment,N
1058,Ambiance,4.5,LG CNS,Life,N
1223205,America Nu Network,0,Radiant Technologies LLC,Entertainment,N
1227495,American Football Challenge,10,Omshy Inc.,Game,N
1207796,AmmanTV,0,AmmanTV,Entertainment,N
1236417,Anaconda,10,Bright Data,Game,N
359035,Analog Clock,4.7,XSTAR,Life,N
1062653,AnandLiveTv,6,Cinesoft Pvt. Ltd.,Entertainment,N
998454,Angles,2,Deox,Game,N
2696,Angry Duckling,4.7,MINIGATE,Game,N
1208327,Animal Hit,0,Busidol,Game,N
1208329,Animal Hit,0,Busidol,Game,N
1210393,Animal Hit,4,Busidol,Game,N
2692,Animal Pang Pang,6.3,MINIGATE,Game,N
1212930,Animal World,6,Klebo,Education,N
1240175,Animania,0,Bright Data,Entertainment,N
1204885,Antarctica Screensaver,10,Bright Data,Entertainment,N
474089,AntenaPlay,7,SC Antena Group,Entertainment,N
1085618,Antik TV,0,ANTIK Technology,Entertainment,N
1238756,Any TV,0,OTT ,Entertainment,N
1166733,Apne Live TV,0,PrimeAsia Tv,Entertainment,N
1239733,Apocalypse Road,0,Inlogic Software s.r.o.,Game,N
1224520,App CTS Service,0,LGE,Education,N
1039794,AppMembers,0,EiTV,Entertainment,N
1092273,Apple Music,8.8,Apple,Entertainment,N
990564,Apple TV,7,Apple,Entertainment,Y
1094361,Apple TV+,6.5,Apple,Entertainment,N
1230591,Apples,10,Bright Data,Game,N
1218707,Aqua Challenge,10,Omshy Inc.,Game,N
1244767,Aqua Clash,8,Desoline Inc.,Game,N
1245879,Aqua Maze,0,Desoline Inc.,Game,N
359041,Aqua Real 1,6.4,XSTAR,Life,N
359033,Aqua Real 2,3.6,XSTAR,Life,N
359043,Aquarium 3D,3.7,XSTAR,Life,N
360819,Aquarium Online,4.7,XSTAR,Life,N
361175,Aquarium Relax,4.9,XSTAR,Life,N
1080847,Aquarium TV,6,Castify.ai,Entertainment,N
1188624,Aquarium With Relaxing Music,0,MlvFun,Life,N
1100995,Arabia Live,0,Arabia Live,Entertainment,N
1229658,Arabian Sea,0,Arabian Sea,Entertainment,N
1215469,Arabisk Player,0,Arabisk Player,Entertainment,N
1209717,Arcade Darts,7.3,Desoline Inc.,Game,N
2871,ArcherCraft,5,LG RUSSIA R&D Lab,Game,N
284592,Archercraft,6.8,LG RUSSIA R&D Lab,Game,N
1234926,Arctic Pong,0,Inlogic Software s.r.o.,Game,N
1021294,Arena+,10,Arena+,Entertainment,N
1198607,Arirang TV,0,The Korea International Broadcasting Foundation,News/Info,N
1228586,Aroma Player,0,Aroma Player,Entertainment,N
1018405,Around The World 4K,8.2,myCast TV,Life,N
455499,Arpinet,6,Arpinet LLC,Entertainment,N
950223,ArtHola TV,0,Investek Ltd,Entertainment,N
1236183,ArtVisions Screensaver,0,Bright Data,Entertainment,N
465081,Artmotion,0,Artmotion,Entertainment,N
469669,Artı Dijital Medya,0,KanalW Medya ve Telekomünikasyon A.Ş.,Entertainment,N
1241604,Asphalt Fury,0,Inlogic Software s.r.o.,Game,N
1223954,Astrix Player,0,ASTRIX PLAYER,Entertainment,N
