ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Giochi,N
1203664,100 Blocks,7.7,Bright Data,Giochi,N
4161,3 Cats,6.1,LG RUSSIA R&D Lab,Giochi,N
1231679,4 Colors,7,Desoline Inc.,Giochi,N
1158160,24 FLIX,8.5,Castify.ai,Intrattenimento,N
1245251,2048 Legend,6,Inlogic Software s.r.o.,Giochi,N
1235480,35 MM,6,OTT Live,Vita quotidiana,N
460874,2048 Maniac,6.7,Retinmount s.r.o.,Giochi,N
1226299,4 Matic Player,6,OTT ,Intrattenimento,N
1125855,3 Palavrinhas,8,myCast TV,Intrattenimento,N
1205826,67 Play,2,EiTV,Intrattenimento,N
1150405,007 Squirrel,7.9,tvgame.dev,Giochi,N
1203329,2023 Super Bowl Kicks,8.8,Klebo,Giochi,N
1230746,2024 Super Bowl Touchdown,7.5,Klebo,Giochi,N
1229613,12 TV Parma,6,Fluidstream,Intrattenimento,N
1231235,4 To Win,0,Desoline Inc.,Giochi,N
238734,4 in a ROW,6.8,NGINE NETWORKS,Giochi,N
1219916,360 studios,6,Gizmeon,Intrattenimento,N
1224053,!Go Marty Go!,7.1,Klebo,Giochi,N
1245285,!ron Tanks Battle,6.8,Klebo,Giochi,N
1224365,#1 Sky Combat,7.1,Omshy Inc.,Giochi,N
1234832,#1 Mine Sweeper Mania,6,Inlogic Software s.r.o.,Giochi,N
1235427,#1 Tokyo Drift,4.7,Omshy Inc.,Giochi,N
1237074,#1 Archery,8,Inlogic Software s.r.o.,Giochi,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Giochi,N
1205335,$1 Million Quiz,5.5,Klebo,Giochi,N
1221235,$1 M Roulette,6,Desoline Inc.,Giochi,N
1224457,$1 M Craps,2,Desoline Inc.,Giochi,N
1225715,$1M Jocker Poker,6,Desoline Inc.,Giochi,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Giochi,N
1225815,$75 Bingo,0,Desoline Inc.,Giochi,N
1224275,$$$ Blackjack,10,Bright Data,Giochi,N
1238838,$Gold Tower Mania,6,Inlogic Software s.r.o.,Giochi,N
1235193,100% NL,0,Triple,Intrattenimento,N
288720,12+,6,Keshet Broadcasting Ltd.,Intrattenimento,N
230128,+700 Relaxing Channels - Calm Radio,7.3,Calm Radio,Intrattenimento,N
1228369,70-80.it,8,,Intrattenimento,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Giochi,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Giochi,N
1131758,A+ Cinema,6.9,myCast TV,Intrattenimento,N
950161,AAJTAK,6,TV Today,Notizie/Info,N
1219355,ABCmouse,6.9,"Age of Learning, Inc.",Istruzione,N
1151015,ABE Player,6,Soft ltd,Intrattenimento,N
1152394,ABP LIVE NEWS CHANNEL,6,ABP Network,Notizie/Info,N
1222535,ABS Player,0,ABS Player,Intrattenimento,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Intrattenimento,N
1038728,ADESSO TV,6,Alexandre Porfirio,Notizie/Info,N
1015169,ADtv,6,Abu Dhabi media,Intrattenimento,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Notizie/Info,N
1238581,ALA PLAY,0,EiTV,Intrattenimento,N
1231173,ALGHADTV,0,ALGHADTV,Intrattenimento,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Intrattenimento,N
953672,ANTV,8.7,ANTV - African Network Television,Intrattenimento,N
1023038,APPUSERIES,10,myCast TV,Intrattenimento,N
1165805,APlusPlayer,8,4thdimensionpartners Private Limited,Intrattenimento,N
1119704,ARC Player,6.6,ARC Player,Intrattenimento,N
1060,ART PICTURE GALLERY,2.9,LG CNS,Giochi,N
168353,ARTE,6.9,ARTE,Intrattenimento,N
1204514,ASAP Network,6,Castify.ai,Intrattenimento,N
1226558,ASMR Sand,0,Bright Data,Intrattenimento,N
1226699,ASMR Shortbread,6,Bright Data,Intrattenimento,N
1224080,ASMR TV,0,Bright Data,Intrattenimento,N
1235572,ASTRO TV,0,ASTRO TV,Intrattenimento,N
