ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,10,Desoline Inc.,ゲーム,N
1203664,100 Blocks,0,Bright Data,ゲーム,N
4161,3 Cats,6.6,LG RUSSIA R&D Lab,ゲーム,N
1231679,4 Colors,0,Desoline Inc.,ゲーム,N
1158160,24 FLIX,10,Castify.ai,エンターテインメント,N
1245251,2048 Legend,10,Inlogic Software s.r.o.,ゲーム,N
1235480,35 MM,0,OTT Live,ライフスタイル,N
460874,2048 Maniac,5.8,Retinmount s.r.o.,ゲーム,N
1226299,4 Matic Player,0,OTT ,エンターテインメント,N
1125855,3 Palavrinhas,10,myCast TV,エンターテインメント,N
1205826,67 Play,0,EiTV,エンターテインメント,N
1150405,007 Squirrel,9,tvgame.dev,ゲーム,N
1203329,2023 Super Bowl Kicks,6,Klebo,ゲーム,N
1230746,2024 Super Bowl Touchdown,0,Klebo,ゲーム,N
1229613,12 TV Parma,0,Fluidstream,エンターテインメント,N
1231235,4 To Win,0,Desoline Inc.,ゲーム,N
238734,4 in a ROW,6,NGINE NETWORKS,ゲーム,N
1219916,360 studios,0,Gizmeon,エンターテインメント,N
1224053,!Go Marty Go!,6,Klebo,ゲーム,N
1245285,!ron Tanks Battle,0,Klebo,ゲーム,N
1224365,#1 Sky Combat,0,Omshy Inc.,ゲーム,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,ゲーム,N
1235427,#1 Tokyo Drift,0,Omshy Inc.,ゲーム,N
1237074,#1 Archery,10,Inlogic Software s.r.o.,ゲーム,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,ゲーム,N
1205335,$1 Million Quiz,6,Klebo,ゲーム,N
1221235,$1 M Roulette,0,Desoline Inc.,ゲーム,N
1224457,$1 M Craps,0,Desoline Inc.,ゲーム,N
1225715,$1M Jocker Poker,0,Desoline Inc.,ゲーム,N
1225718,$1M Caribbean Stud Poker,10,Desoline Inc.,ゲーム,N
1225815,$75 Bingo,0,Desoline Inc.,ゲーム,N
1224275,$$$ Blackjack,10,Bright Data,ゲーム,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,ゲーム,N
1235193,100% NL,0,Triple,エンターテインメント,N
288720,12+,10,Keshet Broadcasting Ltd.,エンターテインメント,N
230128,+700 Relaxing Channels - Calm Radio,6,Calm Radio,エンターテインメント,N
1228369,70-80 it,0,22HBG,エンターテインメント,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,ゲーム,N
