ID,Name,Average Score,Vendor,Category,Pre-Installed
1158160,24 FLIX,6,Castify.ai,엔터테인먼트,N
1235480,35 MM,0,OTT Live,생활,N
460874,2048 Maniac,6.7,Retinmount s.r.o.,게임,N
1226299,4 Matic Player,2,OTT ,엔터테인먼트,N
1125855,3 Palavrinhas,2,myCast TV,엔터테인먼트,N
1205826,67 Play,0,EiTV,엔터테인먼트,N
1229613,12 TV Parma,0,Fluidstream,엔터테인먼트,N
1219916,360 studios,0,Gizmeon,엔터테인먼트,N
1235193,100% NL,0,Triple,엔터테인먼트,N
288720,12+,8,Keshet Broadcasting Ltd.,엔터테인먼트,N
230128,+700 Relaxing Channels - Calm Radio,7.3,Calm Radio,엔터테인먼트,N
1228369,70-80 it,6,22HBG,엔터테인먼트,N
1131758,A+ Cinema,10,myCast TV,엔터테인먼트,N
950161,AAJTAK,0,TV Today,뉴스/정보,N
1219355,ABCmouse,7.7,"Age of Learning, Inc.",어학/교육,N
1151015,ABE Player,0,Soft ltd,엔터테인먼트,N
1152394,ABP LIVE NEWS CHANNEL,10,ABP Network,뉴스/정보,N
1222535,ABS Player,10,ABS Player,엔터테인먼트,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,엔터테인먼트,N
1015169,ADtv,0,Abu Dhabi media,엔터테인먼트,N
1227896,AIScreen Digital Signage Player,10,AIScreen,뉴스/정보,N
1238581,ALA PLAY,10,EiTV,엔터테인먼트,N
1231173,ALGHADTV,0,ALGHADTV,엔터테인먼트,N
1248146,ALPHA SERVER,0,ALPHA SERVER,엔터테인먼트,N
953672,ANTV,0,ANTV - African Network Television,엔터테인먼트,N
1023038,APPUSERIES,6,myCast TV,엔터테인먼트,N
1165805,APlusPlayer,0,4thdimensionpartners Private Limited,엔터테인먼트,N
1119704,ARC Player,10,ARC Player,엔터테인먼트,N
168353,ARTE,7,ARTE,엔터테인먼트,N
1204514,ASAP Network,5.3,Castify.ai,엔터테인먼트,N
1235572,ASTRO TV,10,ASTRO TV,엔터테인먼트,N
458165,ATN LIVE,0,Ariana Television Network,엔터테인먼트,N
1232385,AWS+,0,AWSPlus,엔터테인먼트,N
1164062,AYNA,0,"International Computer Connections, Inc.",엔터테인먼트,N
1234859,AZ Pro,0,AZ Pro,엔터테인먼트,N
468239,Aastha,7.5,Vedic Broadcasting Limited,엔터테인먼트,N
1235198,Abba Play,0,EiTV,어학/교육,N
1246176,Abraham,0,Abraham,엔터테인먼트,N
