ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Игры,N
1203664,100 Blocks,10,Bright Data,Игры,N
4161,3 Cats,6.2,LG RUSSIA R&D Lab,Игры,N
1231679,4 Colors,10,Desoline Inc.,Игры,N
1158160,24 FLIX,6.6,Castify.ai,Развлекательные,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Игры,N
1235480,35 MM,0,OTT Live,Полезные,N
460874,2048 Maniac,7,Retinmount s.r.o.,Игры,N
1226299,4 Matic Player,0,OTT ,Развлекательные,N
1125855,3 Palavrinhas,8,myCast TV,Развлекательные,N
1205826,67 Play,10,EiTV,Развлекательные,N
1150405,007 Squirrel,8.1,tvgame.dev,Игры,N
1203329,2023 Super Bowl Kicks,8,Klebo,Игры,N
1230746,2024 Super Bowl Touchdown,8.4,Klebo,Игры,N
1229613,12 TV Parma,0,Fluidstream,Развлекательные,N
1231235,4 To Win,0,Desoline Inc.,Игры,N
238734,4 in a ROW,8.1,NGINE NETWORKS,Игры,N
1219916,360 studios,0,Gizmeon,Развлекательные,N
1224053,!Go Marty Go!,6.9,Klebo,Игры,N
1245285,!ron Tanks Battle,9,Klebo,Игры,N
1224365,#1 Sky Combat,10,Omshy Inc.,Игры,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,Игры,N
1235427,#1 Tokyo Drift,8.5,Omshy Inc.,Игры,N
1237074,#1 Archery,8.5,Inlogic Software s.r.o.,Игры,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,Игры,N
1205335,$1 Million Quiz,8.4,Klebo,Игры,N
1221235,$1 M Roulette,0,Desoline Inc.,Игры,N
1224457,$1 M Craps,0,Desoline Inc.,Игры,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Игры,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Игры,N
1225815,$75 Bingo,10,Desoline Inc.,Игры,N
1224275,$$$ Blackjack,6,Bright Data,Игры,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,Игры,N
1235193,100% NL,0,Triple,Развлекательные,N
288720,12+,10,Keshet Broadcasting Ltd.,Развлекательные,N
230128,+700 Relaxing Channels - Calm Radio,8.5,Calm Radio,Развлекательные,N
1228369,70-80 it,8,,Развлекательные,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Игры,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Игры,N
1131758,A+ Cinema,9,myCast TV,Развлекательные,N
950161,AAJTAK,0,TV Today,Новости/Инфо,N
1151015,ABE Player,8,Soft ltd,Развлекательные,N
1152394,ABP LIVE NEWS CHANNEL,8,ABP Network,Новости/Инфо,N
1222535,ABS Player,0,ABS Player,Развлекательные,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Развлекательные,N
1015169,ADtv,10,Abu Dhabi media,Развлекательные,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Новости/Инфо,N
1238581,ALA PLAY,0,EiTV,Развлекательные,N
1231173,ALGHADTV,0,ALGHADTV,Развлекательные,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Развлекательные,N
953672,ANTV,6,ANTV - African Network Television,Развлекательные,N
1023038,APPUSERIES,9.3,myCast TV,Развлекательные,N
1165805,APlusPlayer,8,4thdimensionpartners Private Limited,Развлекательные,N
1119704,ARC Player,0,ARC Player,Развлекательные,N
1060,ART PICTURE GALLERY,5.8,LG CNS,Игры,N
168353,ARTE,6.8,ARTE,Развлекательные,N
1204514,ASAP Network,10,Castify.ai,Развлекательные,N
1226558,ASMR Sand,0,Bright Data,Развлекательные,N
1226699,ASMR Shortbread,0,Bright Data,Развлекательные,N
1224080,ASMR TV,10,Bright Data,Развлекательные,N
1235572,ASTRO TV,0,ASTRO TV,Развлекательные,N
458165,ATN LIVE,6,Ariana Television Network,Развлекательные,N
1232385,AWS+,0,AWSPlus,Развлекательные,N
1164062,AYNA,0,"International Computer Connections, Inc.",Развлекательные,N
1234859,AZ Pro,0,AZ Pro,Развлекательные,N
1112463,AZClear,6.7,Tech Delivery Consultoria,Игры,N
468239,Aastha,6,Vedic Broadcasting Limited,Развлекательные,N
1235198,Abba Play,0,EiTV,Обучающие,N
1226231,Abby ASMR,10,Bright Data,Полезные,N
1246176,Abraham,0,Abraham,Развлекательные,N
137160,AccuWeather 2.0,6.9,AccuWeather,Новости/Инфо,N
1237327,Act Box,10,Act Box,Развлекательные,N
1219102,Actif,0,Actif,Полезные,N
1241609,Action Moto,10,Inlogic Software s.r.o.,Игры,N
1062698,Adnet Play,10,EiTV,Развлекательные,N
1243883,Adorable Pets Screensaver,0,Bright Data,Развлекательные,N
1242514,Adrenaline Racing,0,Inlogic Software s.r.o.,Игры,N
1065556,Adria Telekom,10,Adria Telekom,Развлекательные,N
1221408,Ads Screens,10,PRACSAC,Новости/Инфо,N
1203653,AfghanTV Procast,0,Relentless Innovations LLC,Полезные,N
1226237,Agadmator's Chess Channel,0,Bright Data,Развлекательные,N
1228918,Agathos Play,0,EiTV,Развлекательные,N
145,Agent Sudoku,3.1,UANGEL,Игры,N
1177513,Agro Telecom Play,0,EiTV,Развлекательные,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Развлекательные,N
1221361,Air Net Go,0,Air Net Go,Развлекательные,N
972135,AirBeamTV Screen Mirroring Receiver,6.8,AirBeamTV BV,Развлекательные,N
1039887,Airtime,0,LGE,Развлекательные,N
1220063,Akhand Bharat,0,Akhand Bharat,Развлекательные,N
156231,Al Jazeera,6.9,Al Jazeera Media Network,Новости/Инфо,N
1208591,Al Mashhad,0,Al Mashhad,Новости/Инфо,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Развлекательные,N
968140,AlMamlaka TV,8,almamlakatv,Новости/Инфо,N
1227390,Alaraby Plus,0,Fadaat Media Group,Развлекательные,N
1229818,Alaraby TV,0,Al Araby TV,Новости/Инфо,N
1231186,Alawal IPTV,0,ALAWAL IPTV,Развлекательные,N
1232096,Alb-Kos,2,Alb Kos,Развлекательные,N
1241624,Alema Play,0,EiTV,Развлекательные,N
1074777,Alhurra Connect,10,U.S. Agency for Global Media,Новости/Инфо,N
1238481,Alien Attack,10,Desoline Inc.,Игры,N
1238478,Alien Landing,0,Desoline Inc.,Игры,N
1029702,All Flamenco,0,DIGITAL,Развлекательные,N
957550,All Relax 6 in 1,7.1,XSTAR,Полезные,N
1155425,AllIPTVPlayer,0,Soft ltd,Развлекательные,N
1209562,AllNet,10,AllNet Communications,Развлекательные,N
466757,Allplay,8,Allplay,Развлекательные,N
1176214,Alma TV,6.3,Alma TV,Развлекательные,N
1134338,Almavision,6,Relentless Innovations LLC,Полезные,N
957813,Almazan Kitchen,10,myCast TV,Полезные,N
1235299,Almoosawi TV,0,Almoosawi TV,Полезные,N
1227226,Aloula TV,0,WhitePeakSolutions,Развлекательные,N
1241728,Alpha Direct Streaming,0,Alpha Direct Streaming,Развлекательные,N
1226768,Alpha Play,0,Alpha Play,Развлекательные,N
951002,AlphaOTT,0,AlphaOTT,Развлекательные,N
1140147,Alsol Play,10,EiTV,Развлекательные,N
958858,Altel TV,6.1,LifeStream Ltd.,Развлекательные,N
1246718,Alternative solution,0,Alternative solution,Развлекательные,N
1202915,Amazing Discoveries TV,10,Amazing Discoveries,Полезные,N
1214350,Amazing Facts TV,0,Amazing Facts International,Полезные,N
1241814,Amazing Mahjong,0,Inlogic Software s.r.o.,Игры,N
1229600,Amazing Places,10,Bright Data,Развлекательные,N
1039712,Amazon,0,LGE,Развлекательные,N
356847,Amazon Prime Video,6,Amazon,Развлекательные,N
452782,Amazon Prime Video,0,Amazon,Развлекательные,N
456792,Amazon Prime Video,0,Amazon,Развлекательные,N
1058,Ambiance,4.8,LG CNS,Полезные,N
191194,Amediateka - сериалы и кино в HD,6.3,Amediateka,Развлекательные,Y
1223205,America Nu Network,10,Radiant Technologies LLC,Развлекательные,N
1227495,American Football Challenge,0,Omshy Inc.,Игры,N
1207796,AmmanTV,0,AmmanTV,Развлекательные,N
1236417,Anaconda,0,Bright Data,Игры,N
359035,Analog Clock,6.5,XSTAR,Полезные,N
1062653,AnandLiveTv,6,Cinesoft Pvt. Ltd.,Развлекательные,N
998454,Angles,10,Deox,Игры,N
2696,Angry Duckling,5.8,MINIGATE,Игры,N
1208327,Animal Hit,0,Busidol,Игры,N
1208329,Animal Hit,0,Busidol,Игры,N
1210393,Animal Hit,6.8,Busidol,Игры,N
2692,Animal Pang Pang,6.2,MINIGATE,Игры,N
1212930,Animal World,8.3,Klebo,Обучающие,N
1240175,Animania,0,Bright Data,Развлекательные,N
1204885,Antarctica Screensaver,10,Bright Data,Развлекательные,N
1085618,Antik TV,10,ANTIK Technology,Развлекательные,N
1238756,Any TV,0,OTT ,Развлекательные,N
1166733,Apne Live TV,10,PrimeAsia Tv,Развлекательные,N
1239733,Apocalypse Road,10,Inlogic Software s.r.o.,Игры,N
1224520,App CTS Service,0,LGE,Обучающие,N
1039794,AppMembers,8,EiTV,Развлекательные,N
1092273,Apple Music,8.7,Apple,Развлекательные,N
1230591,Apples,0,Bright Data,Игры,N
1218707,Aqua Challenge,10,Omshy Inc.,Игры,N
1244767,Aqua Clash,0,Desoline Inc.,Игры,N
1245879,Aqua Maze,0,Desoline Inc.,Игры,N
359041,Aqua Real 1,6.8,XSTAR,Полезные,N
359033,Aqua Real 2,6.6,XSTAR,Полезные,N
359043,Aquarium 3D,4.9,XSTAR,Полезные,N
360819,Aquarium Online,6.7,XSTAR,Полезные,N
361175,Aquarium Relax,6.1,XSTAR,Полезные,N
1080847,Aquarium TV,0,Castify.ai,Развлекательные,N
1188624,Aquarium With Relaxing Music,6,MlvFun,Полезные,N
1100995,Arabia Live,0,Arabia Live,Развлекательные,N
1229658,Arabian Sea,0,Arabian Sea,Развлекательные,N
1215469,Arabisk Player,0,Arabisk Player,Развлекательные,N
1209717,Arcade Darts,8.6,Desoline Inc.,Игры,N
2871,ArcherCraft,3.4,LG RUSSIA R&D Lab,Игры,N
284592,Archercraft,6.7,LG RUSSIA R&D Lab,Игры,N
1234926,Arctic Pong,0,Inlogic Software s.r.o.,Игры,N
1021294,Arena+,10,Arena+,Развлекательные,N
1198607,Arirang TV,10,The Korea International Broadcasting Foundation,Новости/Инфо,N
