ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,6,Desoline Inc.,Jogos,N
1203664,100 Blocks,0,Bright Data,Jogos,N
4161,3 Cats,6.4,LG RUSSIA R&D Lab,Jogos,N
1231679,4 Colors,10,Desoline Inc.,Jogos,N
1158160,24 FLIX,4,Castify.ai,Entretenimento,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Jogos,N
1235480,35 MM,0,OTT Live,Vida,N
460874,2048 Maniac,6.6,Retinmount s.r.o.,Jogos,N
1226299,4 Matic Player,6,OTT ,Entretenimento,N
145487,50 Monumentos Inesquecíveis do Mundo,5.5,EDITORA EUROPA LTDA,Vida,N
1125855,3 Palavrinhas,9.5,myCast TV,Entretenimento,N
1205826,67 Play,0,EiTV,Entretenimento,N
1150405,007 Squirrel,6.4,tvgame.dev,Jogos,N
1203329,2023 Super Bowl Kicks,10,Klebo,Jogos,N
1230746,2024 Super Bowl Touchdown,0,Klebo,Jogos,N
1229613,12 TV Parma,0,Fluidstream,Entretenimento,N
1231235,4 To Win,8,Desoline Inc.,Jogos,N
238734,4 in a ROW,7.4,NGINE NETWORKS,Jogos,N
1219916,360 studios,0,Gizmeon,Entretenimento,N
1224053,!Go Marty Go!,5.5,Klebo,Jogos,N
1245285,!ron Tanks Battle,0,Klebo,Jogos,N
1224365,#1 Sky Combat,0,Omshy Inc.,Jogos,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,Jogos,N
1235427,#1 Tokyo Drift,6,Omshy Inc.,Jogos,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,Jogos,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,Jogos,N
1205335,$1 Million Quiz,2.7,Klebo,Jogos,N
1221235,$1 M Roulette,0,Desoline Inc.,Jogos,N
1224457,$1 M Craps,0,Desoline Inc.,Jogos,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Jogos,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Jogos,N
1225815,$75 Bingo,0,Desoline Inc.,Jogos,N
1224275,$$$ Blackjack,0,Bright Data,Jogos,N
1238838,$Gold Tower Mania,2,Inlogic Software s.r.o.,Jogos,N
1235193,100% NL,0,Triple,Entretenimento,N
288720,12+,0,Keshet Broadcasting Ltd.,Entretenimento,N
230128,+700 Relaxing Channels - Calm Radio,7.3,Calm Radio,Entretenimento,N
1228369,70-80 it,0,,Entretenimento,N
1240283,2177: Galaxy Warriors,0,Inlogic Software s.r.o.,Jogos,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Jogos,N
108678,A Pintura Perfeita de Pierre - Brasil,6.6,LGESP,Jogos,N
1131758,A+ Cinema,6,myCast TV,Entretenimento,N
950161,AAJTAK,0,TV Today,Notícias/Info.,N
1219355,ABCmouse,4.9,"Age of Learning, Inc.",Educação,N
1151015,ABE Player,0,Soft ltd,Entretenimento,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,Notícias/Info.,N
1222535,ABS Player,0,ABS Player,Entretenimento,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entretenimento,N
1038728,ADESSO TV,9,Alexandre Porfirio,Notícias/Info.,N
1015169,ADtv,0,Abu Dhabi media,Entretenimento,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Notícias/Info.,N
1238581,ALA PLAY,0,EiTV,Entretenimento,N
1231173,ALGHADTV,0,ALGHADTV,Entretenimento,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entretenimento,N
953672,ANTV,2,ANTV - African Network Television,Entretenimento,N
1023038,APPUSERIES,0,myCast TV,Entretenimento,N
1165805,APlusPlayer,6,4thdimensionpartners Private Limited,Entretenimento,N
1119704,ARC Player,9,ARC Player,Entretenimento,N
1060,ART PICTURE GALLERY,0,LG CNS,Jogos,N
168353,ARTE,7.6,ARTE,Entretenimento,N
1204514,ASAP Network,0,Castify.ai,Entretenimento,N
1226558,ASMR Sand,0,Bright Data,Entretenimento,N
1226699,ASMR Shortbread,0,Bright Data,Entretenimento,N
1224080,ASMR TV,0,Bright Data,Entretenimento,N
1235572,ASTRO TV,6,ASTRO TV,Entretenimento,N
458165,ATN LIVE,0,Ariana Television Network,Entretenimento,N
1232385,AWS+,0,AWSPlus,Entretenimento,N
1164062,AYNA,0,"International Computer Connections, Inc.",Entretenimento,N
1234859,AZ Pro,0,AZ Pro,Entretenimento,N
1112463,AZClear,10,Tech Delivery Consultoria,Jogos,N
468239,Aastha,0,Vedic Broadcasting Limited,Entretenimento,N
1235198,Abba Play,0,EiTV,Educação,N
1226231,Abby ASMR,0,Bright Data,Vida,N
1246176,Abraham,0,Abraham,Entretenimento,N
1220612,Academia de Pregadores,0,Academia de Pregadores,Educação,N
137160,AccuWeather 2.0,8,AccuWeather,Notícias/Info.,N
1237327,Act Box,0,Act Box,Entretenimento,N
1219102,Actif,0,Actif,Vida,N
1241609,Action Moto,0,Inlogic Software s.r.o.,Jogos,N
1062698,Adnet Play,8,EiTV,Entretenimento,N
1243883,Adorable Pets Screensaver,0,Bright Data,Entretenimento,N
1242514,Adrenaline Racing,0,Inlogic Software s.r.o.,Jogos,N
1065556,Adria Telekom,0,Adria Telekom,Entretenimento,N
1221408,Ads Screens,0,PRACSAC,Notícias/Info.,N
1203653,AfghanTV Procast,0,Relentless Innovations LLC,Vida,N
1226237,Agadmator's Chess Channel,0,Bright Data,Entretenimento,N
1228918,Agathos Play,0,EiTV,Entretenimento,N
145,Agent Sudoku,4.3,UANGEL,Jogos,N
1177513,Agronet Play,2,EiTV,Entretenimento,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Entretenimento,N
1221361,Air Net Go,0,Air Net Go,Entretenimento,N
972135,AirBeamTV Screen Mirroring Receiver,3.2,AirBeamTV BV,Entretenimento,N
1039887,Airtime,0,LGE,Entretenimento,N
1220063,Akhand Bharat,0,Akhand Bharat,Entretenimento,N
156231,Al Jazeera,7.1,Al Jazeera Media Network,Notícias/Info.,N
1208591,Al Mashhad,0,Al Mashhad,Notícias/Info.,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Entretenimento,N
968140,AlMamlaka TV,2,almamlakatv,Notícias/Info.,N
1227390,Alaraby Plus,0,Fadaat Media Group,Entretenimento,N
1229818,Alaraby TV,0,Al Araby TV,Notícias/Info.,N
1231186,Alawal IPTV,0,ALAWAL IPTV,Entretenimento,N
1232096,Alb-Kos,0,Alb Kos,Entretenimento,N
1241624,Alema Play,0,EiTV,Entretenimento,N
1074777,Alhurra Connect,0,U.S. Agency for Global Media,Notícias/Info.,N
1238481,Alien Attack,10,Desoline Inc.,Jogos,N
1238478,Alien Landing,0,Desoline Inc.,Jogos,N
1029702,All Flamenco,0,DIGITAL,Entretenimento,N
957550,All Relax 6 in 1,4.6,XSTAR,Vida,N
1155425,AllIPTVPlayer,8,Soft ltd,Entretenimento,N
1209562,AllNet,0,AllNet Communications,Entretenimento,N
1067292,Allerta Meteo FVG,6,binco0,Notícias/Info.,N
466757,Allplay,0,Allplay,Entretenimento,N
1134338,Almavision,0,Relentless Innovations LLC,Vida,N
957813,Almazan Kitchen,10,myCast TV,Vida,N
1235299,Almoosawi TV,0,Almoosawi TV,Vida,N
1227226,Aloula TV,0,WhitePeakSolutions,Entretenimento,N
1241728,Alpha Direct Streaming,0,Alpha Direct Streaming,Entretenimento,N
1226768,Alpha Play,0,Alpha Play,Entretenimento,N
951002,AlphaOTT,0,AlphaOTT,Entretenimento,N
1140147,Alsol Play,0,EiTV,Entretenimento,N
1246718,Alternative solution,0,Alternative solution,Entretenimento,N
1246188,Amaranto Channel,0,Rievoluzione,Notícias/Info.,N
1202915,Amazing Discoveries TV,6,Amazing Discoveries,Vida,N
1214350,Amazing Facts TV,0,Amazing Facts International,Vida,N
1241814,Amazing Mahjong,0,Inlogic Software s.r.o.,Jogos,N
1229600,Amazing Places,0,Bright Data,Entretenimento,N
1039712,Amazon,0,LGE,Entretenimento,N
356847,Amazon Prime Video,4,Amazon,Entretenimento,N
452782,Amazon Prime Video,0,Amazon,Entretenimento,N
