ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,7.3,Desoline Inc.,Игры,N
1203664,100 Blocks,8,Bright Data,Игры,N
4161,3 Cats,6.3,LG RUSSIA R&D Lab,Игры,N
1231679,4 Colors,8.4,Desoline Inc.,Игры,N
1158160,24 FLIX,5.8,Castify.ai,Развлекательные,N
1245251,2048 Legend,9,Inlogic Software s.r.o.,Игры,N
1235480,35 MM,10,OTT Live,Полезные,N
460874,2048 Maniac,7.1,Retinmount s.r.o.,Игры,N
1226299,4 Matic Player,5.3,OTT ,Развлекательные,N
1125855,3 Palavrinhas,7.1,myCast TV,Развлекательные,N
1205826,67 Play,0,EiTV,Развлекательные,N
1150405,007 Squirrel,8.3,tvgame.dev,Игры,N
1203329,2023 Super Bowl Kicks,8.3,Klebo,Игры,N
1230746,2024 Super Bowl Touchdown,8.9,Klebo,Игры,N
1163138,211 TV,6.1,LifeStream Ltd.,Развлекательные,N
1229613,12 TV Parma,8.7,Fluidstream,Развлекательные,N
1231235,4 To Win,8,Desoline Inc.,Игры,N
238734,4 in a ROW,7.8,NGINE NETWORKS,Игры,N
1219916,360 studios,8,Gizmeon,Развлекательные,N
269399,12 Канал Омск,6.9,Infolio,Развлекательные,N
1224053,!Go Marty Go!,7.1,Klebo,Игры,N
1245285,!ron Tanks Battle,8.9,Klebo,Игры,N
1224365,#1 Sky Combat,8.2,Omshy Inc.,Игры,N
1234832,#1 Mine Sweeper Mania,8,Inlogic Software s.r.o.,Игры,N
1235427,#1 Tokyo Drift,6.9,Omshy Inc.,Игры,N
1237074,#1 Archery,7.2,Inlogic Software s.r.o.,Игры,N
1241542,#2048: X2 Legend,9,Inlogic Software s.r.o.,Игры,N
1205335,$1 Million Quiz,7.3,Klebo,Игры,N
1221235,$1 M Roulette,8.5,Desoline Inc.,Игры,N
1224457,$1 M Craps,7,Desoline Inc.,Игры,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Игры,N
1225718,$1M Caribbean Stud Poker,5,Desoline Inc.,Игры,N
1225815,$75 Bingo,8.7,Desoline Inc.,Игры,N
1224275,$$$ Blackjack,9.3,Bright Data,Игры,N
1238838,$Gold Tower Mania,10,Inlogic Software s.r.o.,Игры,N
1235193,100% NL,10,Triple,Развлекательные,N
288720,12+,6,Keshet Broadcasting Ltd.,Развлекательные,N
230128,+700 Relaxing Channels - Calm Radio,7.1,Calm Radio,Развлекательные,N
1228369,70-80 it,7.7,,Развлекательные,N
138476,101.ru - Radio Online,9,vkpmrussia,Полезные,N
1240283,2177: Galaxy Warriors,9.5,Inlogic Software s.r.o.,Игры,N
1234550,2048: X2 Merge Blocks,10,Inlogic Software s.r.o.,Игры,N
1131758,A+ Cinema,5.6,myCast TV,Развлекательные,N
950161,AAJTAK,0,TV Today,Новости/Инфо,N
1151015,ABE Player,7.7,Soft ltd,Развлекательные,N
1152394,ABP LIVE NEWS CHANNEL,8,ABP Network,Новости/Инфо,N
1222535,ABS Player,2,ABS Player,Развлекательные,N
457704,ACTV.Live,5.1,Actv.live,Развлекательные,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Развлекательные,N
1015169,ADtv,0,Abu Dhabi media,Развлекательные,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Новости/Инфо,N
1238581,ALA PLAY,10,EiTV,Развлекательные,N
1231173,ALGHADTV,6,ALGHADTV,Развлекательные,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Развлекательные,N
953672,ANTV,6.8,ANTV - African Network Television,Развлекательные,N
1023038,APPUSERIES,7.3,myCast TV,Развлекательные,N
1165805,APlusPlayer,6.7,4thdimensionpartners Private Limited,Развлекательные,N
1119704,ARC Player,6.4,ARC Player,Развлекательные,N
1060,ART PICTURE GALLERY,3.7,LG CNS,Игры,N
1204514,ASAP Network,6,Castify.ai,Развлекательные,N
1226558,ASMR Sand,2,Bright Data,Развлекательные,N
1226699,ASMR Shortbread,0,Bright Data,Развлекательные,N
1224080,ASMR TV,0,Bright Data,Развлекательные,N
1235572,ASTRO TV,0,ASTRO TV,Развлекательные,N
458165,ATN LIVE,6,Ariana Television Network,Развлекательные,N
1164062,AYNA,0,"International Computer Connections, Inc.",Развлекательные,N
1234859,AZ Pro,0,AZ Pro,Развлекательные,N
1112463,AZClear,8.7,Tech Delivery Consultoria,Игры,N
468239,Aastha,10,Vedic Broadcasting Limited,Развлекательные,N
1235198,Abba Play,6,EiTV,Обучающие,N
1226231,Abby ASMR,0,Bright Data,Полезные,N
1246176,Abraham,0,Abraham,Развлекательные,N
137160,AccuWeather 2.0,5.9,AccuWeather,Новости/Инфо,N
1237327,Act Box,10,Act Box,Развлекательные,N
1219102,Actif,0,Actif,Полезные,N
1241609,Action Moto,7.5,Inlogic Software s.r.o.,Игры,N
