ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Game,N
1203664,100 Blocks,0,Bright Data,Game,N
4161,3 Cats,6.6,LG RUSSIA R&D Lab,Game,N
1231679,4 Colors,0,Desoline Inc.,Game,N
1158160,24 FLIX,0,Castify.ai,Entertainment,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Game,N
1235480,35 MM,10,OTT Live,Life,N
460874,2048 Maniac,7.8,Retinmount s.r.o.,Game,N
1226299,4 Matic Player,10,OTT ,Entertainment,N
1125855,3 Palavrinhas,6,myCast TV,Entertainment,N
1205826,67 Play,0,EiTV,Entertainment,N
1150405,007 Squirrel,5.6,tvgame.dev,Game,N
1203329,2023 Super Bowl Kicks,0,Klebo,Game,N
1230746,2024 Super Bowl Touchdown,10,Klebo,Game,N
1229613,12 TV Parma,0,Fluidstream,Entertainment,N
1231235,4 To Win,0,Desoline Inc.,Game,N
238734,4 in a ROW,8.9,NGINE NETWORKS,Game,N
1219916,360 studios,0,Gizmeon,Entertainment,N
1224053,!Go Marty Go!,4.7,Klebo,Game,N
1245285,!ron Tanks Battle,10,Klebo,Game,N
1224365,#1 Sky Combat,10,Omshy Inc.,Game,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,Game,N
1235427,#1 Tokyo Drift,0,Omshy Inc.,Game,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,Game,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,Game,N
1205335,$1 Million Quiz,0,Klebo,Game,N
1221235,$1 M Roulette,0,Desoline Inc.,Game,N
1224457,$1 M Craps,2,Desoline Inc.,Game,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Game,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Game,N
1225815,$75 Bingo,0,Desoline Inc.,Game,N
1224275,$$$ Blackjack,6,Bright Data,Game,N
1238838,$Gold Tower Mania,6,Inlogic Software s.r.o.,Game,N
1235193,100% NL,0,Triple,Entertainment,N
288720,12+,6,Keshet Broadcasting Ltd.,Entertainment,N
230128,+700 Relaxing Channels - Calm Radio,8.7,Calm Radio,Entertainment,N
1228369,70-80 it,6,22HBG,Entertainment,N
1240283,2177: Galaxy Warriors,0,Inlogic Software s.r.o.,Game,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,Game,N
1131758,A+ Cinema,9.6,myCast TV,Entertainment,N
950161,AAJTAK,0,TV Today,News/Info.,N
1151015,ABE Player,0,Soft ltd,Entertainment,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,News/Info.,N
1222535,ABS Player,0,ABS Player,Entertainment,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Entertainment,N
1015169,ADtv,0,Abu Dhabi media,Entertainment,N
1227896,AIScreen Digital Signage Player,0,AIScreen,News/Info.,N
1238581,ALA PLAY,0,EiTV,Entertainment,N
1231173,ALGHADTV,0,ALGHADTV,Entertainment,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entertainment,N
953672,ANTV,10,ANTV - African Network Television,Entertainment,N
1023038,APPUSERIES,8,myCast TV,Entertainment,N
1165805,APlusPlayer,0,4thdimensionpartners Private Limited,Entertainment,N
1119704,ARC Player,2,ARC Player,Entertainment,N
1060,ART PICTURE GALLERY,2,LG CNS,Game,N
168353,ARTE,8,ARTE,Entertainment,N
1204514,ASAP Network,0,Castify.ai,Entertainment,N
1226558,ASMR Sand,0,Bright Data,Entertainment,N
1226699,ASMR Shortbread,0,Bright Data,Entertainment,N
1224080,ASMR TV,0,Bright Data,Entertainment,N
1235572,ASTRO TV,0,ASTRO TV,Entertainment,N
458165,ATN LIVE,2,Ariana Television Network,Entertainment,N
1232385,AWS+,0,AWSPlus,Entertainment,N
1164062,AYNA,8,"International Computer Connections, Inc.",Entertainment,N
1234859,AZ Pro,0,AZ Pro,Entertainment,N
1112463,AZClear,0,Tech Delivery Consultoria,Game,N
468239,Aastha,6,Vedic Broadcasting Limited,Entertainment,N
1235198,Abba Play,0,EiTV,Education,N
1226231,Abby ASMR,0,Bright Data,Life,N
1246176,Abraham,0,Abraham,Entertainment,N
137160,Accuweather,7.2,AccuWeather,News/Info.,N
1237327,Act Box,0,Act Box,Entertainment,N
1219102,Actif,0,Actif,Life,N
1241609,Action Moto,0,Inlogic Software s.r.o.,Game,N
1062698,Adnet Play,10,EiTV,Entertainment,N
1243883,Adorable Pets Screensaver,0,Bright Data,Entertainment,N
1242514,Adrenaline Racing,0,Inlogic Software s.r.o.,Game,N
1065556,Adria Telekom,0,Adria Telekom,Entertainment,N
1221408,Ads Screens,0,PRACSAC,News/Info.,N
1203653,AfghanTV Procast,0,Relentless Innovations LLC,Life,N
1226237,Agadmator's Chess Channel,0,Bright Data,Entertainment,N
1228918,Agathos Play,0,EiTV,Entertainment,N
145,Agent Sudoku,4,UANGEL,Game,N
1177513,Agro Telecom Play,0,EiTV,Entertainment,N
1245747,Air IPTV Smarters,0,Air IPTV Smarters,Entertainment,N
1221361,Air Net Go,0,Air Net Go,Entertainment,N
116278,Air Traffic Control,7.1,HatColorSoft,Game,N
972135,AirBeamTV Screen Mirroring Receiver,3.9,AirBeamTV BV,Entertainment,N
1039887,Airtime,0,LGE,Entertainment,N
1220063,Akhand Bharat,0,Akhand Bharat,Entertainment,N
156231,Al Jazeera,6.8,Al Jazeera Media Network,News/Info.,N
1208591,Al Mashhad,0,Al Mashhad,News/Info.,N
1237995,Al-Dunya TV,0,Al-Dunya TV,Entertainment,N
968140,AlMamlaka TV,0,almamlakatv,News/Info.,N
1227390,Alaraby Plus,0,Fadaat Media Group,Entertainment,N
1229818,Alaraby TV,0,Al Araby TV,News/Info.,N
1231186,Alawal IPTV,0,ALAWAL IPTV,Entertainment,N
1232096,Alb-Kos,0,Alb Kos,Entertainment,N
1241624,Alema Play,0,EiTV,Entertainment,N
1074777,Alhurra Connect,0,U.S. Agency for Global Media,News/Info.,N
1238481,Alien Attack,0,Desoline Inc.,Game,N
1238478,Alien Landing,0,Desoline Inc.,Game,N
1029702,All Flamenco,0,DIGITAL,Entertainment,N
957550,All Relax 6 in 1,8.7,XSTAR,Life,N
1155425,AllIPTVPlayer,6,Soft ltd,Entertainment,N
1209562,AllNet,0,AllNet Communications,Entertainment,N
466757,Allplay,0,Allplay,Entertainment,N
1134338,Almavision,0,Relentless Innovations LLC,Life,N
957813,Almazan Kitchen,6,myCast TV,Life,N
1235299,Almoosawi TV,0,Almoosawi TV,Life,N
1227226,Aloula TV,0,WhitePeakSolutions,Entertainment,N
1241728,Alpha Direct Streaming,6,Alpha Direct Streaming,Entertainment,N
1226768,Alpha Play,0,Alpha Play,Entertainment,N
951002,AlphaOTT,0,AlphaOTT,Entertainment,N
1140147,Alsol Play,0,EiTV,Entertainment,N
1246718,Alternative solution,0,Alternative solution,Entertainment,N
1202915,Amazing Discoveries TV,0,Amazing Discoveries,Life,N
1214350,Amazing Facts TV,0,Amazing Facts International,Life,N
1241814,Amazing Mahjong,0,Inlogic Software s.r.o.,Game,N
1229600,Amazing Places,0,Bright Data,Entertainment,N
1039712,Amazon,0,LGE,Entertainment,N
356847,Amazon Prime Video,0,Amazon,Entertainment,N
452782,Amazon Prime Video,0,Amazon,Entertainment,N
456792,Amazon Prime Video,0,Amazon,Entertainment,N
1058,Ambiance,3.7,LG CNS,Life,N
1223205,America Nu Network,0,Radiant Technologies LLC,Entertainment,N
1227495,American Football Challenge,0,Omshy Inc.,Game,N
1207796,AmmanTV,0,AmmanTV,Entertainment,N
1236417,Anaconda,10,Bright Data,Game,N
359035,Analog Clock,8,XSTAR,Life,N
1062653,AnandLiveTv,0,Cinesoft Pvt. Ltd.,Entertainment,N
2696,Angry Duckling,5.1,MINIGATE,Game,N
3977,Animal 21 Dice Trial,6.8,appsuxmodule,Game,N
1208327,Animal Hit,0,Busidol,Game,N
1208329,Animal Hit,0,Busidol,Game,N
1210393,Animal Hit,6,Busidol,Game,N
2692,Animal Pang Pang,6.3,MINIGATE,Game,N
1212930,Animal World,6,Klebo,Education,N
1240175,Animania,0,Bright Data,Entertainment,N
1204885,Antarctica Screensaver,0,Bright Data,Entertainment,N
1085618,Antik TV,0,ANTIK Technology,Entertainment,N
1238756,Any TV,0,OTT ,Entertainment,N
1166733,Apne Live TV,0,PrimeAsia Tv,Entertainment,N
1239733,Apocalypse Road,0,Inlogic Software s.r.o.,Game,N
1224520,App CTS Service,0,LGE,Education,N
1039794,AppMembers,0,EiTV,Entertainment,N
1092273,Apple Music,8.6,Apple,Entertainment,N
990564,Apple TV,7.8,Apple,Entertainment,Y
1094361,Apple TV+,5.6,Apple,Entertainment,N
1230591,Apples,10,Bright Data,Game,N
1218707,Aqua Challenge,0,Omshy Inc.,Game,N
1244767,Aqua Clash,0,Desoline Inc.,Game,N
1245879,Aqua Maze,0,Desoline Inc.,Game,N
359041,Aqua Real 1,5.2,XSTAR,Life,N
359033,Aqua Real 2,4.5,XSTAR,Life,N
359043,Aquarium 3D,6,XSTAR,Life,N
360819,Aquarium Online,5.7,XSTAR,Life,N
