ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,เกมส์,N
1203664,100 Blocks,0,Bright Data,เกมส์,N
4161,3 Cats,6.7,LG RUSSIA R&D Lab,เกมส์,N
1231679,4 Colors,2,Desoline Inc.,เกมส์,N
1158160,24 FLIX,7.3,Castify.ai,บันทึง,N
1245251,2048 Legend,10,Inlogic Software s.r.o.,เกมส์,N
1235480,35 MM,0,OTT Live,ไลฟ์สไตล์,N
460874,2048 Maniac,8.1,Retinmount s.r.o.,เกมส์,N
1226299,4 Matic Player,2,OTT ,บันทึง,N
1125855,3 Palavrinhas,10,myCast TV,บันทึง,N
1205826,67 Play,0,EiTV,บันทึง,N
1150405,007 Squirrel,8.2,tvgame.dev,เกมส์,N
1203329,2023 Super Bowl Kicks,9.3,Klebo,เกมส์,N
1230746,2024 Super Bowl Touchdown,8.7,Klebo,เกมส์,N
1229613,12 TV Parma,10,Fluidstream,บันทึง,N
1231235,4 To Win,8,Desoline Inc.,เกมส์,N
238734,4 in a ROW,8.6,NGINE NETWORKS,เกมส์,N
1219916,360 studios,6,Gizmeon,บันทึง,N
1224053,!Go Marty Go!,6.6,Klebo,เกมส์,N
1245285,!ron Tanks Battle,0,Klebo,เกมส์,N
1224365,#1 Sky Combat,10,Omshy Inc.,เกมส์,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,เกมส์,N
1235427,#1 Tokyo Drift,10,Omshy Inc.,เกมส์,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,เกมส์,N
1241542,#2048: X2 Legend,0,Inlogic Software s.r.o.,เกมส์,N
1205335,$1 Million Quiz,6,Klebo,เกมส์,N
1221235,$1 M Roulette,6.7,Desoline Inc.,เกมส์,N
1224457,$1 M Craps,0,Desoline Inc.,เกมส์,N
1225715,$1M Jocker Poker,0,Desoline Inc.,เกมส์,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,เกมส์,N
1225815,$75 Bingo,0,Desoline Inc.,เกมส์,N
