ID,Name,Average Score,Vendor,Category,Pre-Installed
1203664,100 Blocks,7.8,Bright Data,Oyunlar,N
4161,3 Cats,6.2,LG RUSSIA R&D Lab,Oyunlar,N
1245251,2048 Legend,6,Inlogic Software s.r.o.,Oyunlar,N
460874,2048 Maniac,6.7,Retinmount s.r.o.,Oyunlar,N
1226299,4 Matic Player,5.3,OTT ,Eğlence,N
951347, OkiDoKido,8.4,OKIDOKIDO LIMITED,Eğlence,N
1205826,67 Play,0,EiTV,Eğlence,N
1150405,007 Squirrel,8,tvgame.dev,Oyunlar,N
1203329,2023 Super Bowl Kicks,9,Klebo,Oyunlar,N
1230746,2024 Super Bowl Touchdown,8.2,Klebo,Oyunlar,N
1229613,12 TV Parma,6,Fluidstream,Eğlence,N
1231235,4 To Win,6,Desoline Inc.,Oyunlar,N
238734,4 in a ROW,7.1,NGINE NETWORKS,Oyunlar,N
1219916,360 studios,0,Gizmeon,Eğlence,N
1224053,!Go Marty Go!,7.1,Klebo,Oyunlar,N
1245285,!ron Tanks Battle,8.7,Klebo,Oyunlar,N
1224365,#1 Sky Combat,8.1,Omshy Inc.,Oyunlar,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,Oyunlar,N
1235427,#1 Tokyo Drift,9,Omshy Inc.,Oyunlar,N
1237074,#1 Archery,7.3,Inlogic Software s.r.o.,Oyunlar,N
1241542,#2048: X2 Legend,5,Inlogic Software s.r.o.,Oyunlar,N
1205335,$1 Million Quiz,6.1,Klebo,Oyunlar,N
1238838,$Gold Tower Mania,10,Inlogic Software s.r.o.,Oyunlar,N
1235193,100% NL,0,Triple,Eğlence,N
288720,12+,6,Keshet Broadcasting Ltd.,Eğlence,N
230128,+700 Relaxing Channels - Calm Radio,7.4,Calm Radio,Eğlence,N
1228369,70-80 it,0,,Eğlence,N
1240283,2177: Galaxy Warriors,8.3,Inlogic Software s.r.o.,Oyunlar,N
1234550,2048: X2 Merge Blocks,10,Inlogic Software s.r.o.,Oyunlar,N
1131758,A+ Cinema,6,myCast TV,Eğlence,N
950161,AAJTAK,2,TV Today,Haber/Bilgi,N
1151015,ABE Player,7.3,Soft ltd,Eğlence,N
1152394,ABP LIVE NEWS CHANNEL,0,ABP Network,Haber/Bilgi,N
1222535,ABS Player,0,ABS Player,Eğlence,N
1227114,ACTVDigital Pro,0,ACTVDigital Pro,Eğlence,N
1015169,ADtv,0,Abu Dhabi media,Eğlence,N
1227896,AIScreen Digital Signage Player,0,AIScreen,Haber/Bilgi,N
1238581,ALA PLAY,0,EiTV,Eğlence,N
1231173,ALGHADTV,0,ALGHADTV,Eğlence,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Eğlence,N
953672,ANTV,8.7,ANTV - African Network Television,Eğlence,N
1023038,APPUSERIES,8,myCast TV,Eğlence,N
1165805,APlusPlayer,8.7,4thdimensionpartners Private Limited,Eğlence,N
1119704,ARC Player,7.6,ARC Player,Eğlence,N
1060,ART PICTURE GALLERY,3.3,LG CNS,Oyunlar,N
1204514,ASAP Network,0,Castify.ai,Eğlence,N
1226558,ASMR Sand,8.7,Bright Data,Eğlence,N
1226699,ASMR Shortbread,0,Bright Data,Eğlence,N
1235572,ASTRO TV,0,ASTRO TV,Eğlence,N
458165,ATN LIVE,0,Ariana Television Network,Eğlence,N
1232385,AWS+,0,AWSPlus,Eğlence,N
1164062,AYNA,0,"International Computer Connections, Inc.",Eğlence,N
1234859,AZ Pro,0,AZ Pro,Eğlence,N
1112463,AZClear,9.1,Tech Delivery Consultoria,Oyunlar,N
468239,Aastha,8,Vedic Broadcasting Limited,Eğlence,N
1235198,Abba Play,10,EiTV,Eğitim,N
1226231,Abby ASMR,0,Bright Data,Yaşam,N
1246176,Abraham,0,Abraham,Eğlence,N
137160,Accuweather,5.6,AccuWeather,Haber/Bilgi,N
456564,AcikogretimSistemi1.0,3.9,Anadolu Üniversitesi,Eğitim,N
1237327,Act Box,2,Act Box,Eğlence,N
1219102,Actif,0,Actif,Yaşam,N
1241609,Action Moto,8,Inlogic Software s.r.o.,Oyunlar,N
1062698,Adnet Play,6,EiTV,Eğlence,N
