ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,遊戲,N
1203664,100 Blocks,8.7,Bright Data,遊戲,N
1231679,4 Colors,0,Desoline Inc.,遊戲,N
1158160,24 FLIX,10,Castify.ai,娛樂,N
1245251,2048 Legend,10,Inlogic Software s.r.o.,遊戲,N
1235480,35 MM,0,OTT Live,生活,N
460874,2048 Maniac,6.7,Retinmount s.r.o.,遊戲,N
1226299,4 Matic Player,0,OTT ,娛樂,N
1125855,3 Palavrinhas,6,myCast TV,娛樂,N
1205826,67 Play,0,EiTV,娛樂,N
1150405,007 Squirrel,7.3,tvgame.dev,遊戲,N
1203329,2023 Super Bowl Kicks,8,Klebo,遊戲,N
1230746,2024 Super Bowl Touchdown,8,Klebo,遊戲,N
1229613,12 TV Parma,0,Fluidstream,娛樂,N
1231235,4 To Win,10,Desoline Inc.,遊戲,N
238734,4 in a ROW,7.6,NGINE NETWORKS,遊戲,N
1219916,360 studios,6,Gizmeon,娛樂,N
1224053,!Go Marty Go!,7.3,Klebo,遊戲,N
1245285,!ron Tanks Battle,0,Klebo,遊戲,N
1224365,#1 Sky Combat,6,Omshy Inc.,遊戲,N
1234832,#1 Mine Sweeper Mania,10,Inlogic Software s.r.o.,遊戲,N
1235427,#1 Tokyo Drift,0,Omshy Inc.,遊戲,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,遊戲,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,遊戲,N
1205335,$1 Million Quiz,6,Klebo,遊戲,N
1221235,$1 M Roulette,0,Desoline Inc.,遊戲,N
1224457,$1 M Craps,0,Desoline Inc.,遊戲,N
1225715,$1M Jocker Poker,0,Desoline Inc.,遊戲,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,遊戲,N
1225815,$75 Bingo,0,Desoline Inc.,遊戲,N
1224275,$$$ Blackjack,0,Bright Data,遊戲,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,遊戲,N
1235193,100% NL,0,Triple,娛樂,N
288720,12+,0,Keshet Broadcasting Ltd.,娛樂,N
230128,+700 Relaxing Channels - Calm Radio,8,Calm Radio,娛樂,N
1228369,70-80 it,6,22HBG,娛樂,N
1240283,2177: Galaxy Warriors,0,Inlogic Software s.r.o.,遊戲,N
1234550,2048: X2 Merge Blocks,0,Inlogic Software s.r.o.,遊戲,N
1131758,A+ Cinema,0,myCast TV,娛樂,N
950161,AAJTAK,0,TV Today,新聞/資訊,N
1151015,ABE Player,6,Soft ltd,娛樂,N
1152394,ABP LIVE NEWS CHANNEL,6,ABP Network,新聞/資訊,N
1222535,ABS Player,0,ABS Player,娛樂,N
