ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,0,Desoline Inc.,Ігри,N
1203664,100 Blocks,0,Bright Data,Ігри,N
4161,3 Cats,6.3,LG RUSSIA R&D Lab,Ігри,N
1231679,4 Colors,0,Desoline Inc.,Ігри,N
1158160,24 FLIX,0,Castify.ai,Розважальні,N
1245251,2048 Legend,0,Inlogic Software s.r.o.,Ігри,N
1235480,35 MM,0,OTT Live,Корисні,N
460874,2048 Maniac,7,Retinmount s.r.o.,Ігри,N
1226299,4 Matic Player,8,OTT ,Розважальні,N
1125855,3 Palavrinhas,6.3,myCast TV,Розважальні,N
1205826,67 Play,0,EiTV,Розважальні,N
1150405,007 Squirrel,7.3,tvgame.dev,Ігри,N
1203329,2023 Super Bowl Kicks,10,Klebo,Ігри,N
1230746,2024 Super Bowl Touchdown,8.7,Klebo,Ігри,N
1229613,12 TV Parma,6,Fluidstream,Розважальні,N
1231235,4 To Win,0,Desoline Inc.,Ігри,N
238734,4 in a ROW,8.9,NGINE NETWORKS,Ігри,N
1219916,360 studios,0,Gizmeon,Розважальні,N
1224053,!Go Marty Go!,6.2,Klebo,Ігри,N
1245285,!ron Tanks Battle,0,Klebo,Ігри,N
1224365,#1 Sky Combat,0,Omshy Inc.,Ігри,N
1234832,#1 Mine Sweeper Mania,0,Inlogic Software s.r.o.,Ігри,N
1235427,#1 Tokyo Drift,6,Omshy Inc.,Ігри,N
1237074,#1 Archery,0,Inlogic Software s.r.o.,Ігри,N
1241542,#2048: X2 Legend,6,Inlogic Software s.r.o.,Ігри,N
1205335,$1 Million Quiz,8.3,Klebo,Ігри,N
1221235,$1 M Roulette,0,Desoline Inc.,Ігри,N
1224457,$1 M Craps,0,Desoline Inc.,Ігри,N
1225715,$1M Jocker Poker,0,Desoline Inc.,Ігри,N
1225718,$1M Caribbean Stud Poker,0,Desoline Inc.,Ігри,N
1225815,$75 Bingo,0,Desoline Inc.,Ігри,N
1224275,$$$ Blackjack,0,Bright Data,Ігри,N
1238838,$Gold Tower Mania,0,Inlogic Software s.r.o.,Ігри,N
1235193,100% NL,0,Triple,Розважальні,N
288720,12+,6,Keshet Broadcasting Ltd.,Розважальні,N
