ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,6.8,Desoline Inc.,Game,N
1203664,100 Blocks,9,Bright Data,Game,N
4161,3 Cats,5.1,LG RUSSIA R&D Lab,Game,N
1208152, Christian Women's Broadcasting Network,8.2,Holy Spirit Broadcasting Network,Life,N
1231679,4 Colors,6.8,Desoline Inc.,Game,N
1158160,24 FLIX,7.5,Castify.ai,Entertainment,N
1245251,2048 Legend,8,Inlogic Software s.r.o.,Game,N
1235480,35 MM,10,OTT Live,Life,N
460874,2048 Maniac,7.4,Retinmount s.r.o.,Game,N
1226299,4 Matic Player,6.6,OTT ,Entertainment,N
1125855,3 Palavrinhas,8.2,myCast TV,Entertainment,N
1205826,67 Play,6,EiTV,Entertainment,N
1150405,007 Squirrel,7.7,tvgame.dev,Game,N
1203329,2023 Super Bowl Kicks,7.7,Klebo,Game,N
1230746,2024 Super Bowl Touchdown,6.4,Klebo,Game,N
1229613,12 TV Parma,8.7,Fluidstream,Entertainment,N
1231235,4 To Win,8.7,Desoline Inc.,Game,N
238734,4 in a ROW,7.1,NGINE NETWORKS,Game,N
1219916,360 studios,10,Gizmeon,Entertainment,N
1224053,!Go Marty Go!,6.6,Klebo,Game,N
1245285,!ron Tanks Battle,8.3,Klebo,Game,N
1224365,#1 Sky Combat,7.6,Omshy Inc.,Game,N
1234832,#1 Mine Sweeper Mania,9.4,Inlogic Software s.r.o.,Game,N
1235427,#1 Tokyo Drift,8.6,Omshy Inc.,Game,N
1237074,#1 Archery,6.8,Inlogic Software s.r.o.,Game,N
1241542,#2048: X2 Legend,10,Inlogic Software s.r.o.,Game,N
1205335,$1 Million Quiz,5.9,Klebo,Game,N
1221235,$1 M Roulette,7,Desoline Inc.,Game,N
1224457,$1 M Craps,7.1,Desoline Inc.,Game,N
1225715,$1M Jocker Poker,6.3,Desoline Inc.,Game,N
1225718,$1M Caribbean Stud Poker,10,Desoline Inc.,Game,N
1225815,$75 Bingo,6.5,Desoline Inc.,Game,N
1224275,$$$ Blackjack,6,Bright Data,Game,N
1238838,$Gold Tower Mania,8.7,Inlogic Software s.r.o.,Game,N
1235193,100% NL,6,Triple,Entertainment,N
288720,12+,6.9,Keshet Broadcasting Ltd.,Entertainment,N
230128,+700 Relaxing Channels - Calm Radio,6.6,Calm Radio,Entertainment,N
1222775,+NET Play TV,7.3,MultTV,Entertainment,N
1228369,70-80 it,8.9,,Entertainment,N
1240283,2177: Galaxy Warriors,10,Inlogic Software s.r.o.,Game,N
1234550,2048: X2 Merge Blocks,8.9,Inlogic Software s.r.o.,Game,N
1131758,A+ Cinema,6.8,myCast TV,Entertainment,N
950161,AAJTAK,7,TV Today,News/Info,N
1170528,ABC10 KXTV,8.5,Tegna Inc.,Life,N
1219355,ABCmouse,6.7,"Age of Learning, Inc.",Education,N
1151015,ABE Player,6,Soft ltd,Entertainment,N
1152394,ABP LIVE NEWS CHANNEL,6.1,ABP Network,News/Info,N
1222535,ABS Player,6,ABS Player,Entertainment,N
1227114,ACTVDigital Pro,10,ACTVDigital Pro,Entertainment,N
1038728,ADESSO TV,8,Alexandre Porfirio,News/Info,N
1015169,ADtv,3.6,Abu Dhabi media,Entertainment,N
1205530,AHC GO,10,Discovery Communications LLC,Entertainment,N
1227896,AIScreen Digital Signage Player,10,AIScreen,News/Info,N
1238581,ALA PLAY,0,EiTV,Entertainment,N
1231173,ALGHADTV,8.7,ALGHADTV,Entertainment,N
1248146,ALPHA SERVER,0,ALPHA SERVER,Entertainment,N
1188495,AMC+,7.3,AMC,Entertainment,N
953672,ANTV,4.7,ANTV - African Network Television,Entertainment,N
1023038,APPUSERIES,9.6,myCast TV,Entertainment,N
1165805,APlusPlayer,8,4thdimensionpartners Private Limited,Entertainment,N
1119704,ARC Player,6,ARC Player,Entertainment,N
1060,ART PICTURE GALLERY,3.6,LG CNS,Game,N
168353,ARTE,6.3,ARTE,Entertainment,N
1204514,ASAP Network,6,Castify.ai,Entertainment,N
1226558,ASMR Sand,7,Bright Data,Entertainment,N
1226699,ASMR Shortbread,10,Bright Data,Entertainment,N
1224080,ASMR TV,5.6,Bright Data,Entertainment,N
1235572,ASTRO TV,0,ASTRO TV,Entertainment,N
458165,ATN LIVE,7.1,Ariana Television Network,Entertainment,N
1232385,AWS+,0,AWSPlus,Entertainment,N
