ID,Name,Average Score,Vendor,Category,Pre-Installed
1202232,21 Blackjack,6.6,Desoline Inc.,Trò chơi,N
1203664,100 Blocks,8.2,Bright Data,Trò chơi,N
4161,3 Cats,7.6,LG RUSSIA R&D Lab,Trò chơi,N
1231679,4 Colors,7.1,Desoline Inc.,Trò chơi,N
1158160,24 FLIX,6.7,Castify.ai,Giải trí,N
1245251,2048 Legend,8,Inlogic Software s.r.o.,Trò chơi,N
1235480,35 MM,0,OTT Live,Sinh hoạt,N
460874,2048 Maniac,7.4,Retinmount s.r.o.,Trò chơi,N
1226299,4 Matic Player,0,OTT ,Giải trí,N
1125855,3 Palavrinhas,7.1,myCast TV,Giải trí,N
1205826,67 Play,0,EiTV,Giải trí,N
1150405,007 Squirrel,7.6,tvgame.dev,Trò chơi,N
1203329,2023 Super Bowl Kicks,8.4,Klebo,Trò chơi,N
1230746,2024 Super Bowl Touchdown,7.9,Klebo,Trò chơi,N
1229613,12 TV Parma,10,Fluidstream,Giải trí,N
1231235,4 To Win,7.3,Desoline Inc.,Trò chơi,N
238734,4 in a ROW,7.9,NGINE NETWORKS,Trò chơi,N
1219916,360 studios,4,Gizmeon,Giải trí,N
1224053,!Go Marty Go!,6.4,Klebo,Trò chơi,N
1245285,!ron Tanks Battle,7.9,Klebo,Trò chơi,N
1224365,#1 Sky Combat,7.9,Omshy Inc.,Trò chơi,N
1234832,#1 Mine Sweeper Mania,8.6,Inlogic Software s.r.o.,Trò chơi,N
1235427,#1 Tokyo Drift,4.5,Omshy Inc.,Trò chơi,N
1237074,#1 Archery,6.5,Inlogic Software s.r.o.,Trò chơi,N
1241542,#2048: X2 Legend,8.8,Inlogic Software s.r.o.,Trò chơi,N
1205335,$1 Million Quiz,6.3,Klebo,Trò chơi,N
1221235,$1 M Roulette,8,Desoline Inc.,Trò chơi,N
1224457,$1 M Craps,5.6,Desoline Inc.,Trò chơi,N
1225715,$1M Jocker Poker,6,Desoline Inc.,Trò chơi,N
1225718,$1M Caribbean Stud Poker,7.3,Desoline Inc.,Trò chơi,N
1225815,$75 Bingo,5.7,Desoline Inc.,Trò chơi,N
1224275,$$$ Blackjack,5.3,Bright Data,Trò chơi,N
